IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, November 03, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:11"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.88    1.92    0.52   13.84   13.88    3.25    0.10     0.07    0.02      0.39
A02                      4.12    2.44    0.46   15.53   22.53    7.81    0.13     0.08    0.02      0.46
A03                      6.06    3.39    0.54   18.81   29.26   10.74    0.15     0.09    0.02      0.38
A04                      8.03    4.36    0.66   21.63   34.27   12.20    0.14     0.08    0.03      0.31
A05                     10.98    8.15    2.64   33.12   14.58    1.18    0.19     0.15    0.06      0.29
A06                     13.42    8.31    2.09   31.99   30.45    5.13    0.13     0.10    0.04      0.21
A07                     17.09    9.10    1.59   32.00   46.01   11.49    0.16     0.10    0.03      0.22
A08                     22.03   10.93    1.47   34.25   56.20   17.05    0.14     0.08    0.04      0.21
A09                     39.79   33.06   10.88   63.40    9.61    2.62    0.31     0.27    0.15      0.21
A10                     41.87   32.92   10.11   62.71   16.14    4.65    0.32     0.29    0.12      0.21
A11                     45.01   33.29    9.44   62.33   23.75    6.90    0.27     0.25    0.11      0.17
A12                     47.62   33.02    8.73   61.40   31.97    8.45    0.39     0.35    0.11      0.21
A13                     80.60   74.70   28.94   89.57   -1.99   -4.72    0.32     0.30    0.20      0.15
A14                     84.93   74.37   28.40   88.78    6.61   -5.13    0.42     0.42    0.22      0.20
A15                     87.13   78.50   26.37   90.82    0.83    3.46    0.37     0.38    0.21      0.18
A16                     77.24   69.54   25.59   86.72    1.69   -2.04    0.26     0.26    0.17      0.13
A17                     84.09   73.53   25.75   88.25    5.79    0.24    0.27     0.29    0.21      0.14
A18                     79.79   73.99   26.22   89.12   -3.14    0.87    0.32     0.32    0.22      0.16
A19                     77.48   69.88   28.15   87.03    2.56   -7.61    0.34     0.36    0.23      0.20
A20                      5.88   11.22   12.95   44.93  -37.49  -37.64    0.13     0.21    0.18      0.36
A21                     22.38   10.97    7.55   35.21   65.17  -33.95    0.20     0.11    0.13      0.33
A22                     44.52   36.36    1.33   64.61    8.32   78.32    0.40     0.35    0.03      0.41
B01                      2.45    1.74    0.39   13.06    9.84    6.81    0.09     0.06    0.01      0.43
B02                      3.46    2.13    0.30   14.31   18.66   12.24    0.10     0.06    0.01      0.43
B03                      4.79    2.73    0.27   16.42   25.48   17.14    0.13     0.08    0.01      0.44
B04                      6.52    3.57    0.33   19.18   30.99   19.50    0.13     0.08    0.01      0.30
B05                     11.27    8.17    1.89   32.81   15.61    9.94    0.19     0.15    0.04      0.27
B06                     12.64    8.03    0.94   31.35   26.38   23.48    0.18     0.14    0.03      0.18
B07                     17.60    9.44    0.53   32.38   44.76   35.62    0.21     0.14    0.02      0.14
B08                     23.02   11.31    0.30   34.48   56.89   47.26    0.13     0.08    0.01      0.27
B09                     39.97   33.52    9.87   63.74    7.74    7.85    0.29     0.28    0.11      0.21
B10                     42.83   33.57    8.43   63.02   15.50   13.43    0.31     0.30    0.11      0.22
B11                     44.94   33.30    6.97   62.12   22.02   19.69    0.35     0.33    0.13      0.19
B12                     47.38   33.47    6.34   61.71   28.15   22.54    0.39     0.35    0.09      0.25
B13                     70.38   67.97   28.43   86.85   -7.17   -8.34    0.43     0.42    0.21      0.22
B14                     80.46   67.59   27.17   85.12   13.30   -9.04    0.53     0.69    0.26      0.28
B15                     86.01   77.40   22.27   90.11   -0.48   12.70    0.35     0.37    0.20      0.17
B16                     63.88   57.55   20.83   80.44    1.10   -0.78    0.46     0.59    0.22      0.36
B17                     78.74   66.00   21.09   84.01   10.99    4.68    0.75     0.86    0.26      0.41
B18                     69.01   66.74   22.04   85.91  -10.10    6.01    0.31     0.30    0.18      0.16
B19                     64.53   58.32   26.76   81.22    3.59  -14.83    0.44     0.61    0.26      0.32
B20                      4.64    8.69    9.36   39.77  -35.15  -31.73    0.12     0.19    0.15      0.38
B21                     16.18    8.23    5.67   30.89   55.38  -30.02    0.24     0.13    0.10      0.39
B22                     30.38   25.21    1.18   55.54    5.25   64.57    0.47     0.40    0.03      0.52
C01                      3.72    2.99    0.66   19.41    4.10    9.49    0.10     0.08    0.02      0.38
C02                      4.26    3.23    0.47   19.90    7.65   16.22    0.12     0.10    0.02      0.34
C03                      5.31    3.78    0.43   21.42   12.44   20.68    0.13     0.09    0.01      0.38
C04                      7.53    5.20    0.46   25.40   16.16   26.74    0.18     0.14    0.02      0.38
C05                     22.09   17.31    3.35   47.22   11.32   19.64    0.16     0.16    0.07      0.11
C06                     26.62   19.03    1.73   48.16   20.91   40.39    0.25     0.20    0.05      0.23
C07                     30.42   20.38    0.80   48.83   29.12   59.57    0.23     0.18    0.02      0.40
C08                     42.55   27.50    0.83   55.24   36.86   70.41    0.33     0.26    0.02      0.24
C09                     46.83   40.28   11.13   68.95    4.57   11.73    0.22     0.18    0.10      0.15
C10                     49.38   40.64    8.43   68.55    9.00   23.69    0.21     0.20    0.12      0.16
C11                     52.10   41.28    6.71   68.44   13.42   33.03    0.21     0.23    0.09      0.12
C12                     54.89   41.92    5.53   68.38   18.14   40.48    0.29     0.29    0.07      0.18
C13                     62.29   62.83   28.58   84.75  -12.13  -12.31    0.41     0.34    0.09      0.13
C14                     77.03   61.87   26.39   81.78   20.38  -13.37    0.39     0.49    0.13      0.13
C15                     86.54   77.76   19.80   90.12   -1.20   19.69    0.28     0.24    0.16      0.17
C16                     53.17   47.84   17.68   74.70    1.21   -1.74    0.37     0.35    0.15      0.24
C17                     74.81   59.92   17.97   80.27   16.93    7.03    0.35     0.48    0.19      0.20
C18                     60.26   60.84   19.37   83.19  -16.29    8.85    0.38     0.30    0.19      0.14
C19                     54.37   49.00   25.70   75.93    5.46  -21.83    0.44     0.51    0.16      0.22
C20                      3.26    5.82    5.77   32.56  -30.58  -24.86    0.09     0.14    0.11      0.30
C21                      9.86    5.31    3.70   25.00   42.67  -25.07    0.20     0.11    0.09      0.52
C22                     17.37   14.73    0.96   44.04    1.98   47.96    0.30     0.25    0.03      0.45
D01                      3.32    2.93    0.65   19.53   -1.23   10.41    0.12     0.10    0.02      0.49
D02                      3.59    3.28    0.52   20.90   -3.46   17.10    0.14     0.12    0.02      0.55
D03                      4.30    3.90    0.52   23.00   -3.22   21.01    0.14     0.12    0.02      0.56
D04                      5.16    4.80    0.57   25.88   -5.10   24.66    0.14     0.13    0.01      0.50
D05                     23.25   20.82    4.65   52.35   -1.94   18.21    0.24     0.25    0.08      0.26
D06                     23.89   21.21    2.38   52.34   -2.44   40.21    0.20     0.20    0.03      0.27
D07                     24.90   22.67    1.23   53.79   -5.12   60.65    0.28     0.26    0.03      0.36
D08                     30.47   28.17    1.21   59.05   -6.81   70.98    0.27     0.25    0.02      0.44
D09                     53.41   47.78   13.93   74.35   -0.03   10.45    0.24     0.25    0.13      0.18
D10                     53.00   47.13    9.93   73.58   -1.09   25.68    0.22     0.27    0.11      0.30
D11                     53.72   47.09    7.75   73.23   -0.03   36.10    0.24     0.24    0.10      0.32
D12                     54.57   47.55    6.50   73.34    0.38   43.65    0.24     0.28    0.08      0.28
D13                     51.41   54.98   27.90   81.08  -17.94  -17.16    0.26     0.22    0.05      0.07
D14                     71.53   54.09   24.65   76.92   29.27  -18.09    0.26     0.33    0.12      0.05
D15                     85.30   76.25   15.85   89.16   -1.59   30.43    0.33     0.28    0.18      0.25
D16                     39.95   35.97   13.40   66.51    0.83   -1.74    0.47     0.43    0.17      0.33
D17                     68.11   51.36   13.68   74.69   24.07   11.37    0.25     0.28    0.16      0.11
D18                     48.58   52.05   15.45   78.61  -24.01   13.35    0.46     0.36    0.14      0.13
D19                     41.65   37.43   23.52   68.31    7.83  -30.11    0.59     0.55    0.16      0.22
D20                      2.35    3.93    3.71   26.38  -25.32  -20.44    0.09     0.13    0.12      0.44
D21                      6.58    3.76    2.52   20.88   33.15  -20.35    0.23     0.13    0.06      0.47
D22                     10.73    9.16    0.80   35.37    0.99   35.49    0.34     0.26    0.03      0.65
E01                      2.93    2.97    0.69   20.22   -8.69   10.70    0.11     0.10    0.02      0.43
E02                      2.83    3.14    0.57   21.14  -14.03   16.29    0.11     0.11    0.02      0.39
E03                      2.88    3.72    0.61   23.72  -22.56   20.04    0.11     0.11    0.02      0.40
E04                      3.33    4.51    0.68   26.48  -26.45   23.36    0.10     0.10    0.02      0.32
E05                     10.99   10.53    2.61   38.92   -7.33   12.88    0.23     0.17    0.04      0.26
E06                      9.74   10.35    1.51   38.88  -16.57   28.18    0.22     0.18    0.04      0.22
E07                      9.86   11.83    1.07   41.77  -26.75   42.33    0.25     0.23    0.02      0.35
E08                     10.59   14.29    1.13   46.03  -37.41   49.34    0.27     0.28    0.03      0.40
E09                     35.69   33.27    9.42   64.41   -5.46   11.59    0.36     0.32    0.11      0.30
E10                     34.01   33.05    7.77   64.41  -11.36   20.25    0.37     0.33    0.11      0.38
E11                     32.49   32.34    6.54   63.90  -14.67   26.59    0.38     0.36    0.09      0.34
E12                     31.89   32.89    5.75   64.52  -19.30   33.02    0.38     0.39    0.09      0.36
E13                     40.78   46.89   27.12   76.89  -23.89  -22.69    0.39     0.31    0.07      0.08
E14                     64.98   45.64   22.51   71.08   39.42  -23.36    0.23     0.29    0.11      0.07
E15                     84.22   74.57   11.93   88.05   -1.14   43.10    0.26     0.22    0.12      0.19
E16                     27.91   25.05    9.26   57.12    0.73   -1.03    0.43     0.35    0.11      0.32
E17                     60.92   42.64    9.49   68.27   32.42   17.18    0.22     0.25    0.13      0.09
E18                     37.46   43.07   11.40   73.27  -31.94   19.36    0.45     0.35    0.09      0.14
E19                     30.10   26.72   20.97   59.65   11.66  -38.93    0.49     0.41    0.12      0.12
E20                      1.63    2.47    2.12   20.03  -19.74  -15.24    0.05     0.07    0.06      0.35
E21                      3.85    2.39    1.53   16.20   22.34  -15.16    0.16     0.09    0.04      0.56
E22                      5.75    4.98    0.63   26.09   -0.38   22.89    0.22     0.16    0.02      0.54
F01                      0.83    0.96    0.40    9.44  -10.27    0.33    0.02     0.02    0.01      0.35
F02                      0.92    1.33    0.45   12.74  -19.94    4.94    0.03     0.05    0.01      0.51
F03                      1.06    1.73    0.50   15.54  -26.16    8.49    0.02     0.04    0.01      0.50
F04                      1.24    2.17    0.54   18.02  -30.57   11.88    0.03     0.06    0.02      0.43
F05                      5.44    5.94    1.99   30.12  -13.98    4.65    0.14     0.12    0.03      0.29
F06                      3.70    5.37    1.64   29.56  -30.21    9.32    0.08     0.10    0.04      0.29
