IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Wednesday, November 04, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:11"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.71    1.82    0.50   13.31   13.49    2.75    0.03     0.02    0.01      0.21
A02                      3.92    2.32    0.44   15.01   22.19    7.52    0.08     0.04    0.01      0.31
A03                      5.82    3.25    0.52   18.33   28.94   10.78    0.08     0.05    0.01      0.30
A04                      7.95    4.31    0.64   21.46   34.29   12.50    0.10     0.06    0.02      0.37
A05                     10.73    7.92    2.59   32.62   14.96    0.83    0.12     0.08    0.02      0.18
A06                     13.26    8.14    2.04   31.60   31.00    5.08    0.10     0.05    0.01      0.19
A07                     16.94    8.98    1.58   31.77   46.20   11.24    0.09     0.05    0.01      0.15
A08                     22.19   10.98    1.46   34.31   56.58   17.18    0.09     0.05    0.02      0.13
A09                     40.01   33.01   11.00   63.31   10.58    1.89    0.22     0.19    0.07      0.15
A10                     42.20   32.93   10.24   62.66   17.20    3.90    0.25     0.20    0.08      0.16
A11                     45.22   33.21    9.53   62.22   24.71    6.21    0.27     0.21    0.08      0.16
A12                     47.30   32.72    8.84   61.16   32.31    7.44    0.32     0.23    0.07      0.19
A13                     80.80   74.86   29.05   89.65   -1.91   -4.85    0.47     0.48    0.21      0.24
A14                     84.90   74.41   28.50   88.81    6.52   -5.30    0.50     0.47    0.20      0.22
A15                     87.17   78.56   26.32   90.85    0.73    3.64    0.40     0.40    0.19      0.19
A16                     77.53   69.80   25.58   86.84    1.67   -1.80    0.40     0.41    0.19      0.21
A17                     84.10   73.64   25.72   88.32    5.54    0.42    0.43     0.42    0.19      0.20
A18                     80.09   74.24   26.19   89.23   -3.14    1.14    0.39     0.40    0.20      0.20
A19                     77.86   70.21   28.30   87.19    2.59   -7.65    0.50     0.48    0.22      0.24
A20                      5.78   11.02   12.91   44.60  -37.01  -38.08    0.07     0.12    0.11      0.24
A21                     22.65   11.07    7.61   35.34   65.67  -34.07    0.19     0.10    0.06      0.15
A22                     44.92   36.45    1.34   64.61    9.20   78.25    0.28     0.21    0.02      0.38
B01                      2.28    1.63    0.37   12.48    9.20    6.28    0.05     0.03    0.01      0.28
B02                      3.27    2.02    0.30   13.82   18.17   11.48    0.06     0.03    0.01      0.28
B03                      4.60    2.63    0.27   16.01   25.13   16.40    0.06     0.03    0.01      0.24
B04                      6.35    3.48    0.32   18.84   30.80   19.22    0.09     0.05    0.01      0.25
B05                     11.03    7.94    1.86   32.30   16.13    9.43    0.14     0.10    0.02      0.25
B06                     12.50    7.88    0.92   31.00   26.91   23.35    0.15     0.09    0.01      0.34
B07                     17.45    9.33    0.51   32.17   44.90   35.67    0.13     0.07    0.01      0.19
B08                     23.12   11.35    0.31   34.51   57.16   47.18    0.11     0.07    0.01      0.26
B09                     40.09   33.40    9.96   63.60    8.64    7.16    0.25     0.20    0.06      0.16
