IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, December 01, 2020"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2020:12"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.80    1.87    0.51   13.56   13.81    3.14    0.04     0.03    0.01      0.17
A02                      4.14    2.44    0.45   15.55   22.67    8.17    0.04     0.02    0.01      0.15
A03                      5.96    3.34    0.55   18.65   29.00   10.34    0.06     0.04    0.01      0.20
A04                      7.93    4.30    0.65   21.45   34.23   11.97    0.07     0.04    0.01      0.17
A05                     10.53    7.81    2.65   32.45   14.59   -0.20    0.07     0.05    0.02      0.13
A06                     13.16    8.08    2.05   31.47   30.99    4.77    0.06     0.04    0.02      0.09
A07                     16.92    8.98    1.58   31.76   46.15   11.28    0.07     0.05    0.02      0.10
A08                     21.95   10.88    1.46   34.16   56.25   17.03    0.13     0.08    0.01      0.12
A09                     39.09   32.26   10.92   62.72   10.57    1.16    0.13     0.12    0.07      0.09
A10                     41.13   32.07   10.19   61.98   17.26    2.92    0.21     0.17    0.07      0.13
A11                     44.39   32.57    9.54   61.72   24.80    5.24    0.18     0.13    0.07      0.11
A12                     46.43   32.14    8.85   60.73   32.13    6.63    0.22     0.17    0.08      0.13
A13                     80.07   74.16   28.78   89.31   -1.87   -4.83    0.48     0.47    0.19      0.22
A14                     84.04   73.37   28.17   88.29    7.08   -5.50    0.42     0.41    0.15      0.19
A15                     86.55   77.96   26.35   90.58    0.91    3.08    0.49     0.47    0.17      0.22
A16                     76.55   68.70   25.52   86.28    2.28   -2.67    0.34     0.32    0.15      0.16
A17                     83.13   72.51   25.65   87.75    6.24   -0.43    0.37     0.34    0.16      0.16
A18                     79.29   73.47   26.17   88.87   -2.97    0.52    0.38     0.36    0.16      0.17
A19                     76.86   69.11   27.97   86.62    3.06   -7.93    0.33     0.31    0.16      0.16
A20                      5.93   11.22   13.04   44.92  -36.92  -38.02    0.05     0.09    0.07      0.18
A21                     22.34   10.93    7.61   35.16   65.37  -34.39    0.18     0.10    0.07      0.21
A22                     44.33   36.18    1.34   64.47    8.39   77.87    0.16     0.14    0.02      0.17
