IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, June 15, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:01"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.66    1.35    0.94   11.59   10.28    2.61    0.06     0.05    0.03      0.46
A02                      2.21    1.54    0.84   12.87   17.55    6.40    0.08     0.05    0.04      0.49
A03                      3.03    1.95    0.99   15.25   23.14    8.12    0.09     0.06    0.03      0.51
A04                      4.14    2.52    1.18   18.02   28.41   10.16    0.11     0.06    0.04      0.45
A05                      5.78    4.93    3.93   26.53   12.36    0.84    0.19     0.15    0.13      0.53
A06                      6.84    4.74    3.17   25.96   26.06    4.86    0.18     0.12    0.11      0.43
A07                      9.02    5.27    2.57   27.48   39.52   12.08    0.19     0.11    0.09      0.41
A08                     13.06    6.89    2.42   31.55   51.78   20.35    0.21     0.12    0.06      0.37
A09                     23.57   21.75   16.35   53.76   11.93    3.70    0.39     0.37    0.34      0.38
A10                     24.90   21.39   15.22   53.37   19.40    5.76    0.39     0.33    0.27      0.37
A11                     27.44   21.72   14.09   53.72   28.33    9.27    0.35     0.29    0.21      0.33
A12                     29.55   21.69   13.02   53.69   36.72   12.09    0.37     0.30    0.24      0.28
A13                     68.59   72.55   65.34   88.23   -2.94   -5.32    0.36     0.36    0.37      0.17
A14                     71.35   69.47   63.85   86.73    9.43   -6.48    0.25     0.35    0.22      0.12
A15                     73.60   76.01   55.64   89.86    0.64    7.15    0.20     0.24    0.38      0.14
A16                     62.78   63.97   53.60   83.95    2.56   -0.88    0.38     0.46    0.44      0.23
A17                     69.08   67.87   53.86   85.94    8.00    2.28    0.28     0.37    0.44      0.16
A18                     66.34   71.07   54.99   87.52   -4.80    3.79    0.33     0.29    0.44      0.15
A19                     64.21   64.85   63.10   84.40    3.84   -9.77    0.33     0.39    0.21      0.15
A20                      7.32   12.11   23.98   41.39  -35.63  -33.52    0.11     0.16    0.36      0.32
A21                     14.78    7.23   15.41   32.33   59.30  -31.00    0.20     0.10    0.18      0.27
A22                     26.77   25.34    1.88   57.41    9.77   69.89    0.37     0.38    0.05      0.46
B01                      1.41    1.22    0.71   10.73    6.91    5.04    0.04     0.04    0.01      0.40
B02                      1.84    1.37    0.60   11.74   14.06    8.96    0.06     0.04    0.02      0.53
B03                      2.42    1.63    0.55   13.38   19.78   12.76    0.07     0.04    0.02      0.44
B04                      3.28    2.06    0.63   15.81   24.95   15.37    0.08     0.05    0.02      0.42
B05                      5.95    4.96    2.89   26.62   13.91    8.03    0.19     0.15    0.09      0.54
B06                      6.41    4.63    1.52   25.66   22.95   19.03    0.17     0.13    0.06      0.45
B07                      9.20    5.42    0.92   27.90   39.22   31.06    0.19     0.12    0.03      0.52
B08                     14.01    7.30    0.58   32.47   53.94   44.95    0.20     0.12    0.01      0.35
B09                     23.40   21.95   14.51   53.97   10.27    8.59    0.41     0.39    0.38      0.39
B10                     25.13   21.62   12.19   53.62   19.30   14.32    0.39     0.34    0.27      0.32
B11                     26.98   21.63   10.08   53.63   26.88   20.82    0.37     0.33    0.22      0.30
B12                     28.81   21.78    9.15   53.79   33.44   24.25    0.34     0.31    0.23      0.22
B13                     58.05   64.73   63.85   84.35  -10.32  -10.60    0.34     0.34    0.34      0.17
B14                     64.94   58.70   60.08   81.13   19.62  -12.46    0.35     0.41    0.35      0.17
B15                     71.00   73.95   44.02   88.90   -0.66   18.66    0.28     0.32    0.29      0.20
B16                     47.06   47.88   40.18   74.75    2.52   -0.88    0.33     0.32    0.34      0.20
B17                     60.70   56.05   40.68   79.64   16.27    6.91    0.34     0.37    0.38      0.18
B18                     53.84   61.91   43.13   82.87  -14.42    9.35    0.35     0.33    0.29      0.18
B19                     50.00   49.53   58.63   75.78    6.10  -20.22    0.33     0.35    0.31      0.16
B20                      4.96    8.23   15.12   34.45  -31.53  -26.61    0.08     0.14    0.25      0.36
B21                      9.49    4.98   10.17   26.68   46.90  -25.94    0.15     0.07    0.16      0.39
B22                     15.97   15.55    1.60   46.37    5.71   53.83    0.31     0.30    0.04      0.53
C01                      2.06    1.96    1.06   15.26    3.88    7.07    0.07     0.07    0.03      0.43
C02                      2.25    2.01    0.79   15.56    6.78   12.02    0.07     0.06    0.03      0.43
C03                      2.69    2.24    0.69   16.68   10.84   15.78    0.08     0.07    0.02      0.55
C04                      3.67    2.96    0.73   19.87   13.54   20.56    0.12     0.10    0.02      0.60
C05                     11.39   10.36    4.81   38.47   10.52   16.38    0.22     0.21    0.10      0.43
C06                     13.95   11.35    2.47   40.16   20.42   34.75    0.28     0.24    0.09      0.35
C07                     16.53   12.28    1.17   41.65   29.28   51.03    0.25     0.20    0.02      0.51
C08                     25.47   17.49    1.12   48.87   41.21   64.11    0.26     0.22    0.02      0.38
C09                     28.72   28.08   16.70   59.96    6.51   13.55    0.40     0.38    0.36      0.33
C10                     30.34   27.98   12.21   59.86   13.05   25.03    0.45     0.40    0.21      0.38
C11                     32.44   28.43    9.64   60.27   19.00   33.73    0.39     0.39    0.19      0.28
C12                     34.28   28.63    7.59   60.45   24.67   41.56    0.36     0.36    0.15      0.23
C13                     50.54   59.15   63.88   81.37  -16.57  -15.75    0.41     0.39    0.33      0.17
C14                     60.27   50.59   57.52   76.43   29.09  -17.96    0.34     0.40    0.32      0.15
C15                     70.20   73.40   35.43   88.64   -1.22   29.53    0.30     0.33    0.27      0.17
C16                     35.72   36.26   30.58   66.72    2.55   -1.04    0.34     0.33    0.41      0.25
C17                     54.36   47.10   31.07   74.25   24.04   11.20    0.32     0.35    0.36      0.16
C18                     44.62   54.78   34.27   78.91  -22.38   14.43    0.41     0.41    0.34      0.21
C19                     40.04   38.59   55.06   68.45    9.01  -29.16    0.36     0.34    0.27      0.18
C20                      3.15    5.08    8.89   26.96  -25.35  -21.08    0.06     0.09    0.17      0.32
C21                      5.71    3.31    6.36   21.23   34.39  -20.92    0.10     0.06    0.11      0.28
C22                      8.76    8.70    1.33   35.39    3.27   38.06    0.18     0.19    0.04      0.46
D01                      1.84    1.95    1.05   15.21   -0.91    7.13    0.07     0.07    0.04      0.37
D02                      1.99    2.17    0.84   16.33   -2.27   12.43    0.05     0.05    0.01      0.38
D03                      2.30    2.48    0.79   17.81   -1.80   15.81    0.07     0.07    0.02      0.47
D04                      2.73    3.04    0.85   20.20   -3.66   18.82    0.09     0.09    0.02      0.59
D05                     12.39   12.90    6.42   42.61   -0.35   15.69    0.34     0.34    0.17      0.54
D06                     12.36   13.01    3.34   42.78   -1.29   32.69    0.22     0.24    0.11      0.39
D07                     13.16   14.47    1.71   44.89   -5.03   50.01    0.25     0.26    0.04      0.48
D08                     16.98   19.32    1.67   51.06   -8.81   61.16    0.28     0.32    0.03      0.59
D09                     34.64   35.45   21.34   66.09    1.59   14.13    0.52     0.48    0.39      0.36
D10                     34.05   34.94   14.53   65.70    1.23   28.76    0.47     0.42    0.26      0.29
D11                     34.51   35.05   11.35   65.78    2.48   37.77    0.48     0.47    0.24      0.35
D12                     35.10   35.47    9.17   66.12    3.05   45.43    0.38     0.41    0.18      0.23
D13                     41.10   51.03   61.65   76.70  -23.27  -21.65    0.40     0.40    0.33      0.17
D14                     53.88   41.39   52.72   70.45   39.21  -23.20    0.34     0.39    0.39      0.19
D15                     67.79   70.72   25.59   87.35   -0.88   42.82    0.29     0.32    0.26      0.26
