IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Thursday, July 15, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:06"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.70    1.36    0.93   11.69   10.85    2.84    0.02     0.01    0.01      0.19
A02                      2.29    1.60    0.83   13.22   17.80    7.24    0.03     0.03    0.02      0.22
A03                      3.11    1.99    0.98   15.44   23.60    8.58    0.04     0.03    0.02      0.24
A04                      4.17    2.55    1.19   18.12   28.37   10.11    0.05     0.04    0.03      0.27
A05                      6.10    5.18    4.25   27.23   12.86    0.12    0.05     0.05    0.11      0.11
A06                      7.21    4.90    3.32   26.45   27.67    4.67    0.07     0.05    0.07      0.14
A07                      9.37    5.45    2.62   27.98   40.28   12.48    0.08     0.04    0.07      0.21
A08                     13.45    7.07    2.50   31.95   52.58   20.35    0.11     0.06    0.05      0.19
A09                     24.03   22.22   17.38   54.26   11.80    2.16    0.24     0.27    0.36      0.24
A10                     25.81   22.13   16.06   54.17   19.80    5.08    0.25     0.27    0.27      0.20
A11                     28.14   22.40   14.88   54.44   28.01    8.47    0.25     0.24    0.29      0.15
A12                     29.87   22.05   13.68   54.08   36.27   10.95    0.24     0.23    0.23      0.11
A13                     69.93   73.38   65.33   88.63   -1.76   -4.62    0.31     0.30    0.20      0.14
A14                     71.58   70.31   64.03   87.15    8.11   -5.93    0.23     0.28    0.18      0.11
A15                     73.33   75.70   57.25   89.72    0.71    5.23    0.23     0.22    0.30      0.10
A16                     64.07   65.11   54.71   84.54    2.95   -1.05    0.33     0.35    0.30      0.18
A17                     68.97   68.42   55.08   86.22    6.58    1.45    0.20     0.20    0.26      0.10
A18                     67.57   71.63   56.43   87.79   -3.26    2.74    0.23     0.20    0.20      0.09
A19                     65.86   66.49   63.10   85.25    3.93   -8.32    0.19     0.22    0.15      0.10
A20                      7.77   12.65   25.46   42.23  -35.08  -34.74    0.08     0.13    0.30      0.31
A21                     15.28    7.43   16.07   32.78   60.33  -31.82    0.14     0.07    0.22      0.43
A22                     27.62   26.11    1.90   58.14   10.00   70.92    0.24     0.27    0.02      0.45
B01                      1.49    1.27    0.69   11.08    7.80    6.05    0.02     0.02    0.02      0.19
B02                      1.80    1.34    0.56   11.54   14.02    9.29    0.02     0.01    0.02      0.24
B03                      2.54    1.68    0.52   13.70   20.68   13.86    0.03     0.02    0.01      0.22
B04                      3.38    2.11    0.60   16.07   25.41   16.35    0.05     0.03    0.02      0.39
B05                      6.16    5.12    3.09   27.07   14.19    7.37    0.05     0.05    0.04      0.13
B06                      6.69    4.82    1.52   26.20   23.56   19.98    0.09     0.07    0.05      0.19
B07                      9.41    5.52    0.89   28.17   39.82   31.90    0.10     0.06    0.02      0.34
B08                     14.08    7.32    0.56   32.52   54.15   45.56    0.15     0.07    0.02      0.52
B09                     23.88   22.39   15.20   54.43   10.40    7.65    0.30     0.32    0.34      0.27
B10                     25.64   22.14   12.97   54.17   19.08   13.06    0.23     0.24    0.21      0.17
B11                     27.81   22.48   10.72   54.53   26.34   20.30    0.27     0.27    0.25      0.15
B12                     29.18   22.21    9.36   54.25   32.87   24.30    0.24     0.24    0.20      0.10
B13                     59.78   65.79   63.30   84.89   -8.52   -9.13    0.33     0.32    0.20      0.14
B14                     64.60   59.36   59.74   81.49   17.31  -11.50    0.32     0.40    0.20      0.14
B15                     69.56   72.52   45.17   88.22   -0.78   16.08    0.29     0.29    0.42      0.12
B16                     47.59   48.33   40.48   75.03    2.75   -0.78    0.40     0.43    0.39      0.27
B17                     59.28   55.57   41.07   79.37   14.07    5.94    0.35     0.40    0.42      0.19
B18                     54.60   61.76   43.86   82.78  -12.13    8.31    0.34     0.32    0.42      0.14
B19                     51.15   50.84   57.78   76.58    5.70  -17.98    0.27     0.34    0.21      0.14
B20                      5.11    8.32   15.85   34.63  -30.38  -28.08    0.07     0.12    0.24      0.35
B21                      9.90    5.17   10.73   27.21   47.84  -26.81    0.09     0.04    0.20      0.45
B22                     16.38   15.75    1.55   46.65    6.89   54.81    0.19     0.21    0.03      0.46
C01                      2.14    2.03    1.11   15.65    4.07    6.99    0.02     0.02    0.01      0.18
C02                      2.27    2.02    0.76   15.60    7.15   12.49    0.04     0.03    0.01      0.26
C03                      2.82    2.32    0.67   17.06   11.57   16.77    0.03     0.02    0.02      0.33
C04                      3.79    3.01    0.69   20.09   14.42   21.55    0.07     0.05    0.02      0.44
C05                     12.04   10.89    5.20   39.40   11.08   15.95    0.11     0.11    0.09      0.18
C06                     14.48   11.73    2.61   40.78   20.98   34.64    0.16     0.16    0.04      0.36
C07                     17.18   12.71    1.17   42.32   29.98   52.20    0.19     0.16    0.02      0.39
C08                     25.71   17.74    1.10   49.17   40.90   65.01    0.29     0.23    0.02      0.49
C09                     29.52   28.86   17.61   60.66    6.57   12.66    0.32     0.37    0.33      0.27
C10                     31.08   28.71   13.04   60.53   12.95   23.81    0.36     0.37    0.31      0.21
C11                     32.83   28.67   10.11   60.49   19.46   32.56    0.28     0.32    0.24      0.15
C12                     34.31   28.78    8.11   60.58   24.22   39.74    0.35     0.36    0.17      0.23
C13                     51.44   59.47   62.80   81.55  -14.95  -14.41    0.38     0.38    0.17      0.14
C14                     59.77   51.49   57.20   76.97   25.58  -16.70    0.40     0.47    0.18      0.12
C15                     67.97   71.24   37.15   87.60   -1.55   25.34    0.36     0.35    0.48      0.15
C16                     36.55   37.12   31.88   67.37    2.51   -1.93    0.34     0.35    0.37      0.26
C17                     53.01   47.01   32.89   74.19   20.82    8.32    0.43     0.46    0.50      0.23
C18                     45.57   54.72   36.03   78.88  -19.50   11.86    0.33     0.34    0.33      0.17
C19                     40.92   39.73   53.91   69.28    8.16  -26.52    0.33     0.35    0.19      0.13
C20                      3.40    5.38    9.62   27.78  -24.79  -22.19    0.05     0.08    0.16      0.34
C21                      6.07    3.47    6.85   21.84   35.83  -21.99    0.08     0.04    0.14      0.43
C22                      9.21    9.05    1.34   36.08    4.05   39.11    0.11     0.12    0.02      0.34
D01                      1.91    2.01    1.03   15.54   -0.64    7.96    0.02     0.02    0.02      0.21
D02                      2.02    2.18    0.79   16.41   -1.83   13.41    0.04     0.03    0.02      0.29
D03                      2.35    2.50    0.77   17.92   -1.28   16.46    0.04     0.04    0.02      0.28
D04                      2.81    3.10    0.83   20.45   -3.29   19.75    0.03     0.04    0.02      0.33
D05                     13.40   13.89    7.05   44.07    0.06   15.49    0.10     0.12    0.13      0.11
D06                     13.01   13.57    3.32   43.61   -0.53   34.23    0.15     0.19    0.06      0.28
D07                     13.73   14.93    1.68   45.53   -4.11   51.52    0.16     0.19    0.02      0.56
D08                     17.86   20.14    1.65   52.00   -8.07   63.00    0.26     0.29    0.03      0.62
D09                     35.57   36.45   22.78   66.86    1.42   12.64    0.40     0.45    0.46      0.29
D10                     34.62   35.54   15.44   66.17    1.22   27.29    0.34     0.39    0.32      0.22
D11                     35.28   35.94   11.89   66.47    2.13   37.36    0.32     0.36    0.23      0.18
D12                     35.99   36.42    9.96   66.84    2.91   43.99    0.31     0.38    0.18      0.28
D13                     41.26   50.60   59.73   76.44  -21.67  -20.19    0.29     0.33    0.20      0.15
D14                     52.52   41.44   51.73   70.48   35.57  -22.06    0.27     0.31    0.17      0.09
D15                     64.26   67.43   26.97   85.72   -1.71   37.63    0.37     0.37    0.49      0.21
D16                     24.51   24.91   21.80   56.98    2.16   -2.49    0.23     0.25    0.33      0.25
D17                     44.53   36.46   22.56   66.87   29.29   13.09    0.36     0.34    0.42      0.18
D18                     34.08   44.64   25.85   72.66  -28.63   17.03    0.28     0.30    0.37      0.16
D19                     29.36   27.49   47.52   59.42   11.28  -36.35    0.20     0.27    0.22      0.09
D20                      2.29    3.54    6.03   22.09  -20.55  -17.93    0.04     0.05    0.14      0.36
D21                      3.88    2.44    4.44   17.66   26.33  -17.48    0.04     0.02    0.07      0.29
D22                      5.45    5.46    1.12   28.00    2.22   28.22    0.07     0.06    0.03      0.28
E01                      1.78    2.14    1.09   16.19   -6.50    8.18    0.02     0.03    0.02      0.18
E02                      1.67    2.19    0.87   16.44  -10.43   12.14    0.02     0.02    0.03      0.27
E03                      1.78    2.67    0.87   18.69  -17.29   15.88    0.02     0.04    0.02      0.27
E04                      2.18    3.39    1.00   21.54  -20.51   18.81    0.03     0.05    0.03      0.41
