IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, September 14, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:08"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.66    1.33    0.93   11.48   10.62    2.46    0.04     0.03    0.02      0.32
A02                      2.18    1.51    0.83   12.69   17.67    6.29    0.03     0.02    0.02      0.34
A03                      2.83    1.81    0.96   14.46   22.86    7.14    0.04     0.02    0.02      0.24
A04                      3.81    2.32    1.16   17.09   27.62    8.74    0.06     0.04    0.02      0.25
A05                      6.02    5.14    4.27   27.12   12.42   -0.15    0.11     0.09    0.10      0.32
A06                      6.86    4.73    3.35   25.96   26.34    3.65    0.09     0.05    0.05      0.30
A07                      8.52    5.04    2.63   26.84   38.04   10.47    0.08     0.06    0.06      0.15
A08                     11.41    6.10    2.53   29.66   48.68   16.11    0.09     0.05    0.04      0.19
A09                     23.62   21.86   17.16   53.88   11.64    1.99    0.17     0.15    0.14      0.17
A10                     25.20   21.81   16.10   53.82   18.71    4.40    0.15     0.15    0.12      0.15
A11                     27.03   21.85   14.94   53.87   26.04    7.33    0.20     0.18    0.14      0.16
A12                     28.24   21.36   13.87   53.35   33.15    9.18    0.17     0.16    0.15      0.15
A13                     69.84   73.05   65.04   88.47   -1.28   -4.63    0.18     0.20    0.25      0.09
A14                     71.06   69.67   63.62   86.84    8.38   -6.08    0.38     0.38    0.22      0.16
A15                     73.03   75.23   57.05   89.50    1.03    5.05    0.19     0.20    0.37      0.10
A16                     63.63   64.49   54.32   84.22    3.35   -1.19    0.19     0.21    0.31      0.11
A17                     68.56   67.87   54.87   85.94    6.87    1.20    0.35     0.37    0.34      0.18
A18                     67.39   71.25   56.33   87.61   -2.85    2.54    0.14     0.14    0.26      0.07
A19                     65.54   66.02   62.76   85.01    4.23   -8.40    0.21     0.24    0.27      0.10
A20                      7.33   11.87   23.09   41.01  -33.87  -32.53    0.05     0.06    0.12      0.14
A21                     13.98    6.90   15.18   31.58   57.56  -31.71    0.09     0.05    0.15      0.18
A22                     23.87   23.02    1.86   55.09    7.52   66.05    0.17     0.19    0.04      0.29
B01                      1.44    1.24    0.70   10.83    7.50    5.49    0.04     0.02    0.01      0.40
B02                      1.73    1.29    0.58   11.21   13.69    8.36    0.04     0.03    0.01      0.39
B03                      2.33    1.56    0.53   12.98   19.67   12.37    0.06     0.03    0.01      0.49
B04                      3.03    1.91    0.61   15.02   24.16   14.34    0.04     0.02    0.02      0.37
B05                      6.03    5.06    3.12   26.89   13.55    6.87    0.14     0.10    0.07      0.42
B06                      6.22    4.52    1.51   25.33   22.38   18.53    0.13     0.08    0.03      0.48
