IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Friday, September 10, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:08"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.50    1.21    0.82   10.61   10.16    2.90    0.04     0.03    0.03      0.30
A02                      2.05    1.43    0.76   12.18   16.93    6.69    0.04     0.03    0.01      0.40
A03                      2.75    1.78    0.86   14.27   22.38    8.49    0.06     0.04    0.02      0.40
A04                      3.74    2.29    1.04   16.94   27.32   10.23    0.07     0.04    0.03      0.36
A05                      5.52    4.65    3.75   25.70   12.97    0.56    0.10     0.08    0.08      0.30
A06                      6.28    4.27    2.86   24.56   26.34    4.76    0.15     0.10    0.11      0.39
A07                      8.36    4.88    2.24   26.38   38.62   12.97    0.13     0.08    0.06      0.35
A08                     12.15    6.41    2.18   30.43   50.52   20.47    0.13     0.06    0.07      0.20
A09                     21.94   20.05   15.30   51.89   12.61    3.02    0.36     0.34    0.40      0.36
A10                     23.88   20.19   14.19   52.05   20.66    6.11    0.32     0.30    0.33      0.29
A11                     26.11   20.43   13.11   52.32   28.97    9.47    0.30     0.28    0.33      0.17
A12                     28.33   20.48   12.12   52.37   37.71   12.37    0.29     0.26    0.30      0.13
A13                     68.08   71.79   64.21   87.87   -2.49   -4.87    0.33     0.30    0.20      0.14
A14                     70.20   67.82   62.50   85.92   10.49   -6.59    0.16     0.23    0.17      0.09
A15                     73.08   75.30   55.42   89.53    0.99    6.81    0.20     0.19    0.51      0.07
A16                     61.75   62.39   52.28   83.12    3.75   -0.88    0.45     0.44    0.53      0.24
A17                     68.11   66.55   52.61   85.28    8.76    2.48    0.27     0.34    0.49      0.15
A18                     66.18   70.65   54.76   87.31   -4.27    3.68    0.28     0.24    0.51      0.10
A19                     63.49   63.68   61.86   83.80    4.83   -9.61    0.29     0.34    0.22      0.16
A20                      6.85   11.26   22.55   40.01  -34.31  -33.22    0.09     0.13    0.37      0.30
A21                     13.88    6.80   14.17   31.35   57.92  -29.50    0.24     0.12    0.35      0.52
A22                     24.90   23.22    1.76   55.30   11.10   67.51    0.29     0.31    0.05      0.45
B01                      1.29    1.10    0.62    9.80    7.46    5.16    0.02     0.02    0.02      0.27
B02                      1.62    1.21    0.54   10.61   13.43    8.07    0.04     0.03    0.02      0.30
B03                      2.26    1.50    0.49   12.62   19.78   12.51    0.04     0.03    0.01      0.30
B04                      3.04    1.91    0.57   14.98   24.36   15.01    0.06     0.04    0.02      0.35
B05                      5.52    4.55    2.68   25.41   14.23    7.58    0.10     0.08    0.06      0.26
B06                      5.88    4.21    1.35   24.35   22.92   18.83    0.14     0.10    0.05      0.36
B07                      8.38    4.92    0.79   26.49   38.28   30.71    0.15     0.10    0.02      0.38
B08                     12.92    6.73    0.54   31.19   52.45   43.63    0.13     0.06    0.02      0.29
B09                     21.90   20.27   13.50   52.14   11.33    8.11    0.38     0.37    0.41      0.35
B10                     23.59   20.07   11.26   51.92   19.96   14.14    0.34     0.33    0.34      0.24
B11                     25.53   20.27    9.12   52.14   27.33   21.52    0.36     0.33    0.30      0.17
B12                     27.28   20.35    8.13   52.23   34.14   25.27    0.40     0.33    0.28      0.24
B13                     57.71   64.25   62.79   84.10  -10.09  -10.00    0.34     0.31    0.18      0.13
B14                     63.25   56.46   58.36   79.88   21.19  -12.88    0.30     0.44    0.24      0.11
B15                     70.02   72.86   41.78   88.38   -0.50   20.56    0.29     0.28    0.71      0.08
B16                     45.09   45.40   37.54   73.15    3.81   -0.10    0.41     0.43    0.63      0.28
B17                     58.67   53.53   37.70   78.18   17.71    8.36    0.37     0.44    0.68      0.17
B18                     52.82   60.83   40.80   82.28  -14.54   11.32    0.43     0.38    0.58      0.15
B19                     48.57   47.59   56.99   74.56    7.48  -20.64    0.37     0.40    0.26      0.18
B20                      4.39    7.16   13.70   32.17  -29.03  -26.87    0.09     0.12    0.31      0.35
B21                      8.81    4.63    9.20   25.66   45.57  -24.43    0.16     0.08    0.25      0.61
B22                     14.58   13.75    1.44   43.87    8.28   51.30    0.23     0.24    0.03      0.49
C01                      1.87    1.76    0.98   14.18    4.24    6.35    0.04     0.04    0.03      0.23
C02                      2.04    1.80    0.72   14.42    7.14   11.19    0.05     0.04    0.03      0.25
C03                      2.49    2.03    0.62   15.63   11.49   15.23    0.04     0.03    0.01      0.21
C04                      3.40    2.67    0.67   18.65   14.55   19.58    0.06     0.04    0.02      0.32
C05                     10.83    9.67    4.59   37.24   11.78   15.43    0.14     0.13    0.10      0.25
C06                     12.92   10.34    2.27   38.44   21.24   33.53    0.22     0.20    0.08      0.22
C07                     15.42   11.23    1.07   39.96   30.17   49.53    0.21     0.18    0.03      0.28
C08                     23.88   16.15    1.04   47.18   41.69   62.36    0.21     0.18    0.02      0.33
C09                     27.60   26.66   15.74   58.65    7.73   13.59    0.42     0.43    0.49      0.29
C10                     28.82   26.23   11.26   58.25   14.27   25.06    0.39     0.39    0.31      0.24
C11                     30.57   26.18    8.74   58.21   21.06   33.32    0.33     0.34    0.24      0.13
C12                     32.34   26.50    7.09   58.51   26.23   40.20    0.40     0.39    0.22      0.27
C13                     49.91   58.51   62.91   81.02  -16.73  -15.42    0.38     0.36    0.17      0.13
C14                     58.81   48.87   56.09   75.37   30.20  -18.31    0.39     0.50    0.24      0.09
C15                     69.30   72.32   33.61   88.12   -0.94   31.27    0.28     0.29    0.54      0.26
C16                     34.30   34.57   28.61   65.41    3.37   -0.13    0.41     0.42    0.64      0.33
C17                     52.84   45.28   29.38   73.08   25.21   11.83    0.42     0.47    0.60      0.15
C18                     44.02   54.07   32.93   78.50  -22.34   15.69    0.41     0.40    0.55      0.14
C19                     38.74   36.94   53.52   67.23   10.21  -29.62    0.31     0.36    0.25      0.14
C20                      2.86    4.55    8.12   25.40  -23.64  -20.93    0.06     0.08    0.23      0.38
C21                      5.35    3.08    5.79   20.37   33.90  -19.77    0.11     0.05    0.18      0.60
C22                      8.13    7.85    1.24   33.66    5.20   36.25    0.14     0.14    0.03      0.37
D01                      1.65    1.72    0.92   13.92   -0.12    6.99    0.03     0.03    0.02      0.19
D02                      1.79    1.90    0.76   14.96   -1.11   11.53    0.04     0.04    0.02      0.32
D03                      2.07    2.18    0.72   16.42   -0.76   14.78    0.03     0.04    0.01      0.25
D04                      2.47    2.69    0.79   18.77   -2.60   17.43    0.05     0.06    0.02      0.23
D05                     11.86   12.12    5.98   41.41    1.19   15.59    0.18     0.19    0.15      0.24
D06                     11.50   11.85    2.90   40.98    0.54   32.73    0.20     0.23    0.09      0.28
D07                     12.10   12.98    1.54   42.73   -2.85   48.16    0.22     0.26    0.03      0.53
D08                     16.00   17.86    1.57   49.32   -6.81   59.18    0.20     0.24    0.03      0.35
D09                     33.38   33.87   20.32   64.86    2.57   14.07    0.40     0.42    0.52      0.25
D10                     32.43   32.92   13.57   64.10    2.45   28.53    0.41     0.47    0.39      0.24
D11                     32.96   33.12   10.40   64.26    3.67   38.11    0.39     0.43    0.31      0.17
D12                     33.61   33.55    8.70   64.60    4.46   44.49    0.45     0.49    0.28      0.19
D13                     40.05   49.98   60.64   76.06  -23.73  -21.77    0.30     0.30    0.15      0.09
D14                     52.21   39.52   51.00   69.12   40.63  -23.60    0.28     0.39    0.28      0.11
D15                     67.07   69.77   24.44   86.88   -0.43   44.08    0.23     0.26    0.51      0.25
D16                     22.55   22.70   19.34   54.76    3.03   -1.30    0.33     0.33    0.50      0.36
D17                     44.86   35.28   19.95   65.97   34.14   16.74    0.37     0.38    0.52      0.14
D18                     32.77   44.07   23.45   72.28  -31.58   20.71    0.39     0.40    0.52      0.16
D19                     27.65   25.21   47.13   57.28   13.88  -39.60    0.29     0.33    0.28      0.11
D20                      1.92    2.97    5.08   19.91  -19.16  -17.04    0.04     0.06    0.15      0.31
D21                      3.40    2.15    3.69   16.26   24.84  -15.35    0.08     0.05    0.12      0.50
D22                      4.83    4.74    1.05   25.97    3.46   25.70    0.08     0.08    0.02      0.35
E01                      1.54    1.81    0.95   14.44   -5.41    7.26    0.04     0.05    0.03      0.27
E02                      1.48    1.91    0.82   15.00   -9.32   10.38    0.03     0.04    0.02      0.37
E03                      1.55    2.29    0.82   16.95  -15.73   13.86    0.03     0.05    0.02      0.39
E04                      1.88    2.89    0.93   19.60  -18.77   16.50    0.03     0.06    0.02      0.39
E05                      5.51    6.12    3.43   29.71   -4.51    9.57    0.09     0.10    0.08      0.22
E06                      4.82    6.01    1.94   29.44  -11.64   21.10    0.11     0.14    0.06      0.43
E07                      4.94    7.05    1.32   31.92  -20.80   32.28    0.10     0.15    0.03      0.49
E08                      6.10   10.10    1.49   38.02  -33.65   40.71    0.10     0.16    0.03      0.46
E09                     19.24   20.81   12.48   52.74   -4.14   11.96    0.35     0.38    0.40      0.34
E10                     18.68   21.57   10.30   53.56  -10.52   20.00    0.34     0.39    0.30      0.34
E11                     17.75   21.28    8.64   53.26  -14.08   25.14    0.34     0.40    0.30      0.27
E12                     17.37   21.90    7.45   53.92  -19.00   30.85    0.38     0.47    0.25      0.46
E13                     32.77   43.23   58.51   71.71  -29.12  -27.12    0.35     0.37    0.24      0.11
E14                     46.33   31.82   46.27   63.20   50.25  -28.38    0.21     0.28    0.24      0.15
E15                     65.36   67.45   17.88   85.73    0.71   55.27    0.22     0.25    0.41      0.35
E16                     14.55   14.66   12.74   45.16    2.57   -1.83    0.32     0.33    0.40      0.47
E17                     38.54   27.81   13.26   59.72   41.93   21.82    0.28     0.29    0.37      0.15
E18                     24.61   36.21   16.88   66.68  -39.21   24.72    0.35     0.38    0.45      0.15
E19                     19.87   17.03   41.55   48.29   18.19  -48.27    0.24     0.27    0.32      0.09
E20                      1.28    1.88    2.91   14.85  -14.71  -12.38    0.03     0.05    0.11      0.43
E21                      2.06    1.48    2.36   12.47   15.91  -12.05    0.05     0.04    0.08      0.35
E22                      2.62    2.65    0.87   18.56    1.30   15.75    0.06     0.07    0.03      0.26
F01                      0.60    0.76    0.62    6.88   -5.59    0.10    0.01     0.01    0.01      0.10
F02                      0.68    1.03    0.70    9.27  -12.42    2.83    0.01     0.02    0.02      0.44
F03                      0.74    1.27    0.72   11.04  -17.63    5.49    0.02     0.03    0.02      0.36
F04                      0.87    1.61    0.81   13.27  -21.97    7.66    0.02     0.04    0.03      0.39
F05                      3.04    3.80    2.83   23.00  -10.19    2.27    0.08     0.09    0.08      0.31
F06                      2.22    3.61    2.13   22.34  -23.03    7.00    0.06     0.10    0.08      0.47
F07                      1.99    4.11    1.79   24.02  -35.39   13.18    0.04     0.09    0.05      0.47
F08                      2.56    6.34    1.74   30.26  -50.29   24.51    0.04     0.10    0.04      0.40
F09                     19.04   21.38   16.37   53.36   -7.79    2.96    0.35     0.35    0.39      0.35
