IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, October 12, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:09"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.68    1.34    0.90   11.58   10.69    3.15    0.05     0.04    0.03      0.36
A02                      2.27    1.58    0.82   13.12   17.83    7.17    0.05     0.03    0.01      0.49
A03                      3.01    1.92    0.92   15.07   23.40    8.97    0.07     0.04    0.02      0.52
A04                      4.03    2.46    1.15   17.72   28.22   10.07    0.09     0.05    0.03      0.46
A05                      5.90    5.00    4.02   26.74   12.82    0.64    0.15     0.11    0.09      0.41
A06                      7.07    4.84    3.17   26.28   27.00    5.38    0.18     0.11    0.07      0.51
A07                      8.97    5.25    2.49   27.44   39.31   12.65    0.17     0.11    0.07      0.34
A08                     12.78    6.75    2.41   31.24   51.28   19.86    0.17     0.09    0.06      0.30
A09                     23.22   21.36   16.44   53.34   12.19    2.76    0.44     0.42    0.31      0.45
A10                     24.98   21.38   15.32   53.36   19.74    5.51    0.38     0.35    0.30      0.35
A11                     27.23   21.60   14.11   53.60   28.03    8.98    0.37     0.31    0.28      0.29
A12                     29.28   21.51   13.06   53.50   36.52   11.64    0.42     0.36    0.31      0.28
A13                     69.64   73.24   65.54   88.56   -2.10   -4.94    0.27     0.25    0.15      0.11
A14                     71.35   69.38   63.91   86.69    9.61   -6.61    0.27     0.39    0.22      0.14
A15                     73.78   76.08   56.26   89.90    0.87    6.55    0.26     0.25    0.34      0.12
A16                     63.52   64.34   53.90   84.14    3.40   -0.86    0.32     0.32    0.34      0.16
A17                     69.31   68.10   54.12   86.06    7.99    2.19    0.29     0.35    0.42      0.16
A18                     67.37   71.79   55.73   87.87   -4.03    3.61    0.25     0.19    0.38      0.09
A19                     64.93   65.38   63.33   84.68    4.30   -9.53    0.22     0.24    0.26      0.12
A20                      7.40   12.08   24.15   41.34  -34.72  -33.91    0.13     0.19    0.39      0.32
A21                     14.57    7.13   15.51   32.11   58.93  -31.62    0.25     0.13    0.21      0.40
A22                     26.44   24.85    1.86   56.92   10.51   69.26    0.42     0.41    0.04      0.65
B01                      1.44    1.26    0.70   10.96    7.01    5.71    0.04     0.03    0.02      0.37
B02                      1.82    1.35    0.58   11.60   14.06    9.04    0.05     0.03    0.02      0.49
B03                      2.52    1.66    0.52   13.62   20.70   13.71    0.06     0.04    0.01      0.45
B04                      3.31    2.07    0.60   15.85   25.23   15.92    0.07     0.04    0.01      0.46
B05                      5.96    4.95    2.93   26.58   14.11    7.70    0.16     0.12    0.05      0.50
B06                      6.47    4.64    1.48   25.67   23.58   19.45    0.17     0.11    0.05      0.50
B07                      9.08    5.35    0.89   27.71   39.06   31.17    0.18     0.11    0.02      0.56
B08                     13.63    7.11    0.57   32.05   53.32   44.58    0.16     0.09    0.02      0.28
B09                     23.10   21.54   14.35   53.53   10.82    8.25    0.42     0.39    0.30      0.42
B10                     25.01   21.44   12.25   53.43   19.60   13.82    0.42     0.39    0.24      0.40
B11                     26.72   21.54   10.07   53.53   26.26   20.67    0.40     0.35    0.25      0.29
B12                     28.30   21.47    8.92   53.46   32.89   24.48    0.36     0.34    0.22      0.18
B13                     58.26   64.89   63.90   84.43  -10.19  -10.50    0.33     0.29    0.20      0.12
B14                     64.50   58.10   59.82   80.79   20.07  -12.78    0.30     0.46    0.21      0.11
B15                     71.08   73.97   43.93   88.91   -0.50   18.78    0.19     0.18    0.47      0.14
B16                     46.46   47.12   39.85   74.27    2.90   -1.28    0.46     0.45    0.44      0.29
B17                     60.18   55.35   39.95   79.24   16.76    7.17    0.32     0.39    0.51      0.17
B18                     53.70   61.77   42.92   82.79  -14.45    9.49    0.43     0.33    0.40      0.13
B19                     49.62   48.92   58.35   75.40    6.71  -20.59    0.38     0.38    0.23      0.17
B20                      4.89    7.99   15.01   33.96  -30.28  -27.17    0.11     0.18    0.30      0.41
B21                      9.41    4.95   10.12   26.60   46.61  -25.94    0.18     0.09    0.22      0.49
B22                     15.84   15.19    1.55   45.89    7.06   53.50    0.36     0.35    0.03      0.73
C01                      2.08    1.97    1.08   15.30    4.35    6.79    0.07     0.06    0.04      0.39
C02                      2.27    2.01    0.77   15.55    7.29   12.25    0.08     0.06    0.02      0.58
C03                      2.78    2.27    0.66   16.83   11.81   16.51    0.08     0.06    0.03      0.47
C04                      3.80    3.00    0.70   20.04   14.80   21.27    0.10     0.07    0.01      0.68
C05                     11.55   10.38    4.88   38.50   11.50   16.08    0.28     0.24    0.13      0.44
C06                     13.84   11.23    2.41   39.97   20.55   34.95    0.30     0.22    0.04      0.63
C07                     16.41   12.06    1.15   41.32   30.02   50.73    0.30     0.24    0.02      0.51
C08                     24.84   17.02    1.09   48.29   41.05   63.63    0.32     0.27    0.02      0.38
C09                     28.72   27.96   16.69   59.85    6.93   13.40    0.50     0.48    0.43      0.38
C10                     29.84   27.48   12.25   59.42   13.12   24.13    0.40     0.40    0.25      0.32
C11                     31.67   27.53    9.55   59.46   19.73   32.65    0.44     0.43    0.24      0.27
C12                     33.74   28.16    7.83   60.03   24.61   39.88    0.42     0.39    0.16      0.30
C13                     50.49   59.13   64.08   81.36  -16.67  -15.96    0.43     0.36    0.17      0.10
C14                     60.26   50.68   57.78   76.48   28.86  -18.15    0.42     0.55    0.29      0.12
C15                     70.26   73.39   35.61   88.63   -1.07   29.27    0.33     0.34    0.43      0.21
C16                     35.57   36.08   30.80   66.58    2.64   -1.62    0.35     0.34    0.34      0.26
C17                     54.10   46.80   30.95   74.06   24.20   11.04    0.35     0.40    0.45      0.16
C18                     44.88   55.03   34.73   79.06  -22.25   14.02    0.53     0.45    0.50      0.15
C19                     39.74   38.27   55.10   68.22    9.06  -29.60    0.30     0.31    0.26      0.15
C20                      3.19    5.05    8.91   26.88  -24.34  -21.30    0.08     0.12    0.22      0.35
C21                      5.79    3.34    6.41   21.35   34.78  -20.93    0.13     0.07    0.11      0.39
C22                      8.82    8.62    1.32   35.23    4.47   37.91    0.21     0.21    0.03      0.68
D01                      1.85    1.93    1.01   15.09   -0.17    7.57    0.05     0.04    0.01      0.33
D02                      1.98    2.12    0.80   16.10   -1.39   12.67    0.06     0.06    0.03      0.32
D03                      2.30    2.45    0.78   17.67   -1.14   15.80    0.06     0.05    0.01      0.41
D04                      2.80    3.06    0.83   20.26   -2.60   19.37    0.08     0.07    0.01      0.47
D05                     12.64   13.02    6.42   42.79    0.59   15.98    0.28     0.27    0.16      0.40
D06                     12.47   12.94    3.16   42.67   -0.05   33.73    0.28     0.27    0.09      0.45
D07                     13.08   14.11    1.66   44.38   -3.39   49.73    0.28     0.27    0.04      0.54
D08                     17.08   19.11    1.62   50.81   -7.18   61.23    0.38     0.41    0.03      0.80
D09                     34.47   35.30   21.54   65.98    1.50   13.52    0.54     0.55    0.45      0.39
D10                     33.53   34.38   14.58   65.26    1.34   27.89    0.49     0.46    0.26      0.33
D11                     34.07   34.63   11.31   65.45    2.38   37.33    0.52     0.56    0.28      0.37
D12                     34.73   35.12    9.36   65.84    2.99   44.29    0.47     0.51    0.21      0.33
D13                     40.93   50.90   61.70   76.62  -23.43  -21.85    0.31     0.30    0.17      0.10
D14                     53.30   40.75   52.53   70.00   39.64  -23.77    0.40     0.48    0.25      0.16
D15                     68.05   70.92   25.78   87.44   -0.71   42.66    0.30     0.30    0.38      0.23
D16                     23.74   24.05   20.71   56.13    2.43   -1.78    0.31     0.31    0.32      0.32
D17                     46.15   36.72   21.44   67.07   33.06   15.61    0.37     0.40    0.38      0.16
D18                     33.83   45.28   24.76   73.07  -31.29   19.68    0.51     0.47    0.49      0.12
D19                     28.74   26.47   48.76   58.48   12.96  -39.41    0.31     0.31    0.31      0.13
D20                      2.14    3.31    5.54   21.23  -19.99  -17.10    0.05     0.08    0.13      0.30
D21                      3.70    2.35    4.08   17.23   25.45  -16.12    0.10     0.07    0.08      0.31
