IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Thursday, October 28, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:10"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.80    1.43    0.97   12.14   11.36    3.13    0.05     0.04    0.03      0.40
A02                      2.41    1.67    0.89   13.66   18.44    6.99    0.07     0.05    0.03      0.40
A03                      3.35    2.13    1.05   16.15   24.54    8.74    0.10     0.06    0.03      0.53
A04                      4.33    2.64    1.24   18.52   28.90   10.22    0.12     0.07    0.03      0.50
A05                      6.34    5.30    4.26   27.57   13.94    0.69    0.15     0.12    0.12      0.38
A06                      7.33    4.96    3.37   26.61   28.19    4.58    0.19     0.12    0.10      0.48
A07                      9.43    5.49    2.69   28.08   40.33   12.16    0.22     0.12    0.08      0.47
A08                     13.12    6.95    2.60   31.68   51.61   19.07    0.21     0.13    0.08      0.24
A09                     24.49   22.44   17.51   54.49   12.78    2.26    0.50     0.46    0.39      0.48
A10                     26.25   22.40   16.32   54.45   20.38    4.95    0.49     0.46    0.35      0.45
A11                     28.34   22.55   15.00   54.60   28.12    8.43    0.45     0.40    0.34      0.35
A12                     30.33   22.32   13.95   54.36   36.74   10.75    0.41     0.39    0.35      0.20
A13                     69.63   73.17   65.34   88.53   -1.96   -4.80    0.30     0.25    0.11      0.11
A14                     71.57   69.86   63.85   86.93    9.05   -6.15    0.35     0.39    0.20      0.16
A15                     73.84   76.05   57.08   89.88    1.06    5.68    0.34     0.34    0.43      0.16
A16                     64.23   65.19   54.71   84.58    3.15   -0.98    0.41     0.43    0.34      0.22
A17                     69.83   68.86   55.03   86.43    7.50    1.88    0.30     0.38    0.38      0.17
A18                     67.76   71.99   56.45   87.96   -3.60    3.03    0.38     0.29    0.32      0.13
A19                     65.51   66.11   63.27   85.05    3.97   -8.82    0.40     0.42    0.19      0.19
A20                      7.88   12.79   25.61   42.45  -34.99  -34.64    0.18     0.27    0.47      0.43
A21                     15.05    7.35   16.21   32.60   59.71  -32.47    0.29     0.14    0.31      0.54
A22                     27.17   25.71    1.94   57.76    9.86   69.89    0.45     0.45    0.05      0.59
B01                      1.59    1.34    0.74   11.54    8.50    5.96    0.05     0.04    0.02      0.42
B02                      1.92    1.42    0.62   12.07   14.53    9.07    0.06     0.04    0.02      0.38
B03                      2.75    1.80    0.56   14.42   21.64   14.25    0.07     0.05    0.02      0.51
B04                      3.59    2.24    0.67   16.68   26.15   16.20    0.11     0.07    0.02      0.56
B05                      6.39    5.25    3.12   27.42   15.11    7.76    0.17     0.13    0.09      0.45
B06                      6.87    4.90    1.58   26.43   24.33   19.67    0.18     0.13    0.06      0.49
B07                      9.46    5.56    0.95   28.26   39.81   31.18    0.18     0.11    0.03      0.47
B08                     13.84    7.24    0.61   32.34   53.43   44.29    0.14     0.08    0.02      0.24
B09                     24.38   22.67   15.35   54.72   11.33    7.77    0.48     0.46    0.30      0.48
B10                     25.90   22.27   13.15   54.31   19.52   12.80    0.46     0.44    0.32      0.41
B11                     27.77   22.42   10.79   54.47   26.43   19.99    0.42     0.38    0.28      0.27
B12                     29.39   22.39    9.51   54.44   32.88   24.11    0.47     0.43    0.26      0.28
B13                     59.47   65.78   63.85   84.88   -9.22   -9.67    0.35     0.28    0.18      0.11
B14                     65.01   59.00   59.97   81.29   19.06  -12.06    0.38     0.49    0.21      0.15
B15                     71.25   74.05   45.09   88.95   -0.32   17.43    0.22     0.21    0.45      0.09
B16                     48.15   48.83   40.94   75.34    2.95   -0.84    0.59     0.61    0.50      0.38
B17                     61.06   56.55   41.22   79.93   15.89    6.70    0.38     0.48    0.51      0.20
B18                     55.07   62.78   43.93   83.32  -13.28    9.15    0.58     0.47    0.47      0.17
B19                     51.12   50.77   58.87   76.54    5.82  -19.16    0.57     0.62    0.28      0.26
B20                      5.19    8.40   15.86   34.80  -30.22  -27.84    0.14     0.22    0.36      0.52
B21                      9.90    5.18   10.75   27.23   47.79  -26.85    0.24     0.12    0.26      0.61
B22                     16.43   15.67    1.61   46.54    7.60   54.00    0.36     0.35    0.05      0.66
C01                      2.23    2.08    1.16   15.91    4.98    6.78    0.08     0.07    0.03      0.44
C02                      2.40    2.12    0.82   16.11    7.66   12.41    0.07     0.06    0.02      0.51
C03                      2.97    2.41    0.71   17.48   12.37   16.68    0.10     0.07    0.02      0.56
C04                      4.05    3.16    0.76   20.68   15.64   21.36    0.12     0.09    0.02      0.62
C05                     12.16   10.88    5.13   39.38   12.03   16.26    0.25     0.21    0.10      0.44
C06                     14.55   11.73    2.66   40.79   21.38   34.30    0.33     0.27    0.06      0.56
C07                     17.12   12.62    1.23   42.19   30.23   51.17    0.34     0.27    0.04      0.51
C08                     25.40   17.54    1.15   48.94   40.63   63.82    0.29     0.25    0.02      0.35
C09                     30.26   29.41   17.75   61.14    7.28   13.16    0.47     0.46    0.33      0.43
C10                     31.36   28.90   13.17   60.69   13.26   23.74    0.51     0.48    0.29      0.39
C11                     32.91   28.71   10.15   60.52   19.57   32.49    0.47     0.45    0.24      0.35
C12                     34.62   29.02    8.22   60.80   24.33   39.72    0.47     0.49    0.24      0.28
C13                     51.93   60.29   64.11   81.99  -15.58  -14.90    0.46     0.40    0.12      0.10
C14                     60.86   51.63   58.09   77.06   27.80  -17.47    0.33     0.47    0.23      0.07
C15                     70.76   73.84   37.40   88.84   -0.92   27.14    0.21     0.21    0.45      0.12
C16                     37.47   37.94   32.54   67.97    2.91   -1.88    0.60     0.57    0.51      0.43
C17                     55.39   48.31   33.33   75.02   23.30    9.10    0.44     0.52    0.56      0.20
C18                     46.65   56.46   36.41   79.87  -20.73   13.04    0.66     0.58    0.43      0.21
C19                     41.51   40.16   55.71   69.58    8.63  -27.89    0.58     0.60    0.28      0.21
C20                      3.43    5.37    9.62   27.76  -24.26  -22.26    0.12     0.18    0.30      0.53
C21                      6.16    3.52    6.90   22.02   35.99  -21.89    0.19     0.10    0.22      0.64
C22                      9.41    9.15    1.40   36.26    4.91   38.73    0.29     0.27    0.06      0.74
D01                      2.00    2.05    1.09   15.77    0.33    7.48    0.07     0.06    0.03      0.42
D02                      2.12    2.26    0.85   16.79   -1.19   12.96    0.07     0.06    0.03      0.41
D03                      2.47    2.61    0.81   18.42   -0.92   16.47    0.09     0.08    0.03      0.47
D04                      2.91    3.18    0.88   20.75   -2.78   19.36    0.10     0.10    0.03      0.54
D05                     13.46   13.79    6.88   43.92    1.08   15.95    0.29     0.29    0.18      0.46
D06                     13.15   13.58    3.37   43.62    0.38   33.95    0.31     0.32    0.08      0.55
D07                     13.88   14.93    1.75   45.54   -3.19   50.71    0.31     0.32    0.04      0.78
D08                     17.97   20.07    1.71   51.92   -7.18   62.21    0.37     0.39    0.03      0.65
D09                     36.14   36.98   22.84   67.26    1.61   13.22    0.51     0.52    0.37      0.40
D10                     35.23   36.11   15.71   66.61    1.39   27.37    0.51     0.53    0.28      0.42
D11                     35.56   36.13   12.02   66.62    2.44   37.21    0.53     0.58    0.28      0.40
D12                     36.26   36.67   10.01   67.03    3.00   44.15    0.54     0.55    0.21      0.40
D13                     42.37   52.16   61.93   77.37  -22.35  -20.76    0.49     0.46    0.16      0.10
