IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Friday, December 3, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:11"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      2.11    1.69    1.14   13.77   11.63    3.35    0.10     0.08    0.06      0.51
A02                      2.87    1.99    1.04   15.42   19.46    7.68    0.13     0.10    0.06      0.54
A03                      3.80    2.43    1.22   17.58   25.41    8.79    0.15     0.10    0.07      0.49
A04                      5.03    3.06    1.48   20.27   30.47   10.18    0.19     0.12    0.10      0.46
A05                      7.42    6.36    5.32   30.29   13.17   -0.37    0.29     0.27    0.25      0.57
A06                      8.62    5.94    4.20   29.26   28.43    3.92    0.31     0.25    0.21      0.39
A07                     10.80    6.34    3.39   30.25   41.66   10.76    0.31     0.20    0.20      0.34
A08                     14.49    7.69    3.16   33.33   53.19   17.66    0.27     0.16    0.15      0.29
A09                     27.73   26.00   20.78   58.03   10.90    1.35    0.73     0.77    0.68      0.68
A10                     29.40   25.69   19.33   57.74   18.69    3.87    0.74     0.76    0.72      0.59
A11                     31.57   25.72   17.83   57.76   26.67    7.17    0.61     0.61    0.53      0.39
A12                     33.17   25.17   16.76   57.23   34.68    8.73    0.59     0.60    0.59      0.24
A13                     71.24   74.69   66.65   89.25   -1.65   -4.79    0.28     0.22    0.20      0.10
A14                     73.29   72.43   65.63   88.17    7.29   -5.69    0.29     0.37    0.29      0.16
A15                     75.07   77.38   60.43   90.50    0.93    3.35    0.22     0.23    0.58      0.10
A16                     66.98   68.32   58.29   86.16    2.47   -1.97    0.43     0.47    0.40      0.23
A17                     71.69   71.42   58.35   87.69    6.04    0.59    0.30     0.37    0.45      0.17
A18                     69.86   73.86   59.92   88.86   -2.90    1.03    0.32     0.26    0.60      0.12
A19                     68.17   69.20   65.07   86.60    3.16   -7.87    0.56     0.58    0.29      0.26
A20                      8.68   14.09   28.41   44.36  -36.13  -36.10    0.28     0.44    0.69      0.59
A21                     16.79    8.22   18.44   34.43   61.85  -34.42    0.44     0.23    0.49      0.70
A22                     30.44   29.40    2.19   61.13    7.98   73.36    0.73     0.76    0.07      0.88
B01                      1.87    1.59    0.84   13.17    8.46    7.03    0.09     0.08    0.04      0.47
B02                      2.28    1.69    0.69   13.74   15.26   10.70    0.10     0.08    0.04      0.62
B03                      3.20    2.11    0.61   16.03   22.59   16.18    0.15     0.10    0.03      0.76
B04                      4.16    2.59    0.73   18.32   27.45   17.86    0.18     0.11    0.04      0.71
B05                      7.45    6.27    3.85   30.07   14.36    7.44    0.25     0.24    0.19      0.45
B06                      8.06    5.87    1.91   29.07   24.27   20.71    0.33     0.27    0.12      0.53
B07                     10.84    6.44    1.11   30.48   40.94   32.66    0.31     0.21    0.05      0.46
B08                     15.23    7.99    0.66   33.97   54.86   46.11    0.28     0.16    0.03      0.42
B09                     27.53   26.12   18.44   58.15    9.61    6.50    0.60     0.67    0.62      0.54
B10                     29.17   25.73   15.78   57.77   17.65   11.98    0.74     0.78    0.63      0.55
B11                     31.18   25.78   13.03   57.82   24.96   19.19    0.59     0.59    0.50      0.30
B12                     32.24   25.29   11.66   57.36   30.84   22.32    0.57     0.58    0.42      0.23
B13                     61.91   68.04   65.44   86.02   -8.42   -9.22    0.43     0.34    0.22      0.13
B14                     67.59   62.72   62.35   83.29   16.18  -10.96    0.32     0.54    0.33      0.16
B15                     72.87   75.82   49.30   89.78   -0.51   13.93    0.17     0.16    0.63      0.09
B16                     52.02   53.09   45.51   77.92    2.18   -2.07    0.79     0.87    0.88      0.52
B17                     63.94   60.36   45.73   82.03   13.46    4.74    0.45     0.70    0.65      0.27
B18                     58.14   65.58   48.19   84.78  -11.98    6.59    0.48     0.39    0.75      0.13
B19                     54.62   54.73   61.20   78.88    4.72  -17.45    0.77     0.84    0.38      0.36
B20                      6.09    9.90   18.88   37.66  -32.12  -29.80    0.15     0.26    0.40      0.53
B21                     11.37    5.92   12.77   29.21   50.27  -29.41    0.34     0.19    0.39      0.64
B22                     18.85   18.46    1.82   50.04    5.53   57.74    0.40     0.46    0.06      0.67
C01                      2.67    2.54    1.37   18.10    4.19    7.83    0.12     0.12    0.06      0.55
C02                      2.89    2.58    0.94   18.26    7.55   14.15    0.13     0.12    0.04      0.65
C03                      3.55    2.93    0.78   19.73   12.31   19.35    0.17     0.17    0.04      0.76
C04                      4.72    3.76    0.82   22.84   15.41   23.91    0.19     0.16    0.04      0.57
C05                     14.08   12.92    6.39   42.63   10.52   15.85    0.47     0.49    0.33      0.59
C06                     16.95   14.09    3.26   44.36   19.88   35.97    0.38     0.39    0.12      0.56
C07                     19.72   14.95    1.40   45.56   29.26   54.77    0.41     0.39    0.05      0.57
C08                     28.04   19.98    1.28   51.81   38.97   67.04    0.57     0.54    0.06      0.48
C09                     33.83   33.41   21.13   64.49    5.71   11.77    0.84     0.93    0.68      0.71
C10                     35.22   33.16   15.97   64.28   11.34   22.76    0.61     0.69    0.50      0.41
C11                     36.59   32.72   12.28   63.93   17.46   31.84    0.68     0.75    0.44      0.37
C12                     37.99   32.85   10.06   64.04   21.54   38.85    0.52     0.58    0.32      0.20
C13                     54.59   62.86   66.05   83.37  -14.68  -14.37    0.59     0.49    0.27      0.15
C14                     63.55   55.33   60.63   79.23   24.66  -16.28    0.47     0.65    0.43      0.16
C15                     72.43   75.80   41.32   89.77   -1.37   23.55    0.21     0.21    0.77      0.20
C16                     41.23   42.20   36.69   71.00    1.66   -2.64    0.91     1.03    0.86      0.71
C17                     58.64   52.42   37.59   77.53   20.47    7.38    0.61     0.82    0.90      0.28
C18                     49.71   59.47   40.53   81.55  -19.55   10.40    0.47     0.42    0.79      0.09
C19                     45.33   44.56   58.76   72.59    6.89  -25.84    0.76     0.85    0.44      0.32
C20                      4.17    6.59   11.96   30.84  -26.50  -24.26    0.17     0.27    0.43      0.72
C21                      7.24    4.12    8.41   24.04   38.30  -24.35    0.28     0.16    0.35      0.82
C22                     11.24   11.21    1.64   39.92    3.16   42.27    0.34     0.36    0.07      0.69
D01                      2.38    2.52    1.27   17.99   -0.90    8.86    0.13     0.14    0.08      0.62
D02                      2.53    2.75    0.96   19.01   -2.37   14.99    0.12     0.14    0.04      0.80
D03                      3.07    3.32    0.92   21.27   -2.12   19.64    0.06     0.08    0.03      0.28
D04                      3.57    3.97    0.99   23.55   -3.89   22.37    0.15     0.18    0.03      0.87
D05                     15.58   16.31    8.45   47.37   -0.85   15.72    0.49     0.56    0.43      0.61
D06                     15.33   16.22    4.05   47.25   -1.81   35.82    0.52     0.62    0.19      0.81
D07                     16.42   18.06    2.01   49.57   -5.50   55.08    0.17     0.22    0.04      0.35
D08                     20.61   23.32    1.87   55.40   -8.83   66.54    0.38     0.44    0.03      0.74
D09                     39.97   41.24   26.73   70.34    0.64   11.51    0.76     0.89    0.73      0.59
D10                     39.00   40.48   18.52   69.80   -0.08   26.42    0.76     0.91    0.59      0.55
D11                     39.54   40.69   14.39   69.96    0.97   36.47    0.67     0.78    0.47      0.37
D12                     40.02   41.02   12.00   70.19    1.45   43.43    0.64     0.72    0.34      0.38
D13                     44.96   54.75   64.02   78.90  -21.31  -20.16    0.56     0.50    0.30      0.13
D14                     57.28   45.87   56.16   73.46   34.71  -21.68    0.43     0.59    0.40      0.12
D15                     70.04   73.38   31.01   88.63   -1.52   36.07    0.21     0.20    0.51      0.30
D16                     28.74   29.41   25.85   61.14    1.46   -2.82    0.81     0.90    0.86      0.79
D17                     50.66   42.11   26.87   70.94   28.72   12.31    0.53     0.69    0.67      0.17
D18                     38.30   49.73   29.71   75.90  -28.59   16.19    0.49     0.47    0.66      0.10
D19                     33.46   31.68   52.64   63.07   10.50  -35.83    0.76     0.84    0.59      0.26
