IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Monday, December 20, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:12"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.76    1.42    0.98   12.11   10.52    2.77    0.08     0.05    0.03      0.58
A02                      2.37    1.66    0.89   13.57   17.80    6.85    0.10     0.07    0.04      0.54
A03                      3.21    2.07    1.06   15.83   23.73    8.07    0.10     0.06    0.03      0.60
A04                      4.34    2.65    1.26   18.58   28.81   10.02    0.12     0.07    0.05      0.47
A05                      6.36    5.42    4.39   27.90   12.74    0.48    0.18     0.13    0.14      0.47
A06                      7.38    5.05    3.44   26.87   27.44    4.56    0.17     0.10    0.10      0.51
A07                      9.56    5.59    2.72   28.35   40.24   12.32    0.18     0.10    0.09      0.37
A08                     13.38    7.07    2.60   31.97   52.09   19.53    0.15     0.08    0.09      0.24
A09                     24.78   22.92   17.92   54.98   11.92    2.19    0.35     0.35    0.45      0.33
A10                     26.77   22.96   16.78   55.03   20.03    4.85    0.39     0.37    0.42      0.32
A11                     28.94   23.08   15.42   55.15   28.08    8.33    0.37     0.33    0.43      0.24
A12                     30.92   22.85   14.24   54.92   36.54   10.94    0.35     0.35    0.39      0.13
A13                     70.37   74.09   66.25   88.97   -2.27   -4.91    0.23     0.20    0.20      0.09
A14                     72.06   70.42   64.69   87.20    8.92   -6.47    0.24     0.31    0.26      0.12
A15                     74.41   76.86   57.88   90.26    0.61    5.51    0.27     0.26    0.45      0.11
A16                     64.74   65.72   55.63   84.85    3.12   -1.49    0.32     0.37    0.41      0.19
A17                     70.19   69.29   55.82   86.65    7.35    1.41    0.35     0.37    0.43      0.18
A18                     68.31   72.74   57.34   88.32   -3.93    2.72    0.41     0.39    0.52      0.18
A19                     66.10   66.75   64.10   85.38    3.90   -9.06    0.36     0.37    0.26      0.17
A20                      7.70   12.56   25.57   42.09  -35.09  -35.17    0.16     0.21    0.48      0.38
A21                     15.41    7.54   16.46   33.00   60.13  -32.37    0.18     0.09    0.31      0.52
A22                     27.68   26.22    1.94   58.24    9.81   70.67    0.32     0.35    0.05      0.39
B01                      1.53    1.31    0.74   11.37    7.58    5.71    0.07     0.06    0.03      0.56
