IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, January 4, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:12"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.80    1.45    0.96   12.25   10.76    3.34    0.05     0.04    0.04      0.40
A02                      2.44    1.70    0.88   13.83   18.16    7.49    0.08     0.05    0.03      0.49
A03                      3.26    2.10    1.03   15.98   23.84    8.76    0.10     0.06    0.05      0.50
A04                      4.38    2.67    1.24   18.69   28.94   10.53    0.13     0.08    0.05      0.47
A05                      6.47    5.51    4.55   28.14   12.95   -0.02    0.20     0.16    0.16      0.50
A06                      7.54    5.14    3.53   27.12   27.95    4.41    0.19     0.12    0.13      0.46
A07                      9.67    5.65    2.81   28.51   40.40   11.95    0.22     0.13    0.12      0.39
A08                     13.58    7.19    2.70   32.23   52.24   19.21    0.24     0.12    0.12      0.33
A09                     25.28   23.35   18.29   55.43   12.15    2.12    0.50     0.47    0.55      0.47
A10                     27.08   23.26   17.08   55.34   19.94    4.69    0.52     0.48    0.56      0.44
A11                     29.28   23.40   15.76   55.48   27.93    8.09    0.51     0.44    0.54      0.35
A12                     31.23   23.15   14.59   55.23   36.33   10.56    0.42     0.37    0.40      0.22
A13                     70.48   74.16   66.26   89.00   -2.17   -4.86    0.27     0.24    0.33      0.12
A14                     72.37   70.85   64.87   87.41    8.65   -6.29    0.29     0.36    0.28      0.15
A15                     74.61   77.06   58.05   90.35    0.63    5.49    0.18     0.19    0.56      0.09
A16                     65.01   66.06   55.82   85.03    2.96   -1.38    0.39     0.40    0.63      0.21
A17                     70.49   69.66   56.06   86.83    7.20    1.48    0.29     0.37    0.62      0.16
A18                     68.56   72.99   57.54   88.44   -3.90    2.73    0.31     0.28    0.55      0.13
A19                     66.32   67.07   64.21   85.54    3.69   -8.88    0.39     0.40    0.30      0.19
A20                      7.86   12.82   26.11   42.49  -35.32  -35.43    0.16     0.26    0.55      0.52
A21                     15.56    7.60   16.77   33.13   60.43  -32.88    0.33     0.15    0.43      0.74
A22                     28.08   26.68    1.93   58.67    9.55   71.60    0.43     0.44    0.04      0.61
B01                      1.54    1.33    0.72   11.46    7.67    6.23    0.04     0.04    0.02      0.29
B02                      1.94    1.44    0.60   12.21   14.36    9.65    0.07     0.05    0.02      0.50
