IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Thursday, December 16, 2021"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2021:12"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.83    1.48    1.01   12.50   10.60    3.12    0.05     0.04    0.03      0.26
A02                      2.46    1.72    0.92   13.97   18.06    7.04    0.05     0.03    0.02      0.26
A03                      3.30    2.13    1.06   16.13   23.92    8.50    0.08     0.05    0.04      0.30
A04                      4.41    2.70    1.27   18.80   28.85   10.24    0.08     0.05    0.02      0.33
A05                      6.46    5.54    4.51   28.23   12.47    0.36    0.13     0.12    0.11      0.31
A06                      7.48    5.12    3.53   27.06   27.59    4.28    0.16     0.13    0.12      0.27
A07                      9.52    5.58    2.81   28.33   40.04   11.63    0.15     0.09    0.07      0.29
A08                     13.25    7.03    2.72   31.87   51.67   18.45    0.19     0.10    0.10      0.28
A09                     24.81   23.18   17.94   55.25   10.88    2.60    0.30     0.36    0.34      0.30
A10                     26.50   23.01   16.72   55.08   18.68    5.09    0.33     0.35    0.35      0.27
A11                     28.65   23.09   15.41   55.16   26.91    8.37    0.35     0.38    0.29      0.24
A12                     30.42   22.69   14.23   54.76   35.38   10.67    0.30     0.31    0.32      0.19
A13                     70.05   73.85   66.30   88.85   -2.48   -5.15    0.24     0.20    0.17      0.08
A14                     72.03   70.42   64.75   87.20    8.83   -6.53    0.17     0.21    0.28      0.09
A15                     74.31   76.83   57.16   90.24    0.49    6.22    0.28     0.28    0.31      0.15
A16                     64.31   65.38   54.84   84.68    2.90   -0.95    0.27     0.32    0.40      0.16
A17                     70.06   69.20   55.21   86.60    7.26    1.98    0.20     0.25    0.37      0.11
A18                     67.88   72.49   56.59   88.20   -4.37    3.29    0.16     0.15    0.31      0.08
A19                     65.61   66.29   64.08   85.15    3.80   -9.44    0.19     0.27    0.21      0.11
A20                      7.90   12.94   25.74   42.68  -35.77  -34.46    0.10     0.18    0.28      0.33
A21                     15.14    7.43   16.58   32.77   59.55  -33.04    0.17     0.10    0.32      0.32
A22                     27.60   26.49    1.96   58.50    8.40   70.92    0.24     0.31    0.04      0.50
B01                      1.58    1.36    0.75   11.69    7.71    6.08    0.04     0.03    0.02      0.23
B02                      1.96    1.47    0.63   12.42   13.99    9.45    0.04     0.03    0.01      0.24
B03                      2.75    1.83    0.58   14.56   21.05   14.23    0.05     0.03    0.02      0.26
B04                      3.60    2.26    0.67   16.81   25.74   16.41    0.06     0.04    0.02      0.28
B05                      6.46    5.42    3.25   27.90   13.85    7.63    0.14     0.13    0.08      0.32
B06                      7.00    5.05    1.64   26.89   23.71   19.79    0.08     0.08    0.04      0.22
B07                      9.56    5.66    0.96   28.53   39.46   31.39    0.14     0.09    0.03      0.20
B08                     14.04    7.36    0.60   32.61   53.50   44.83    0.13     0.08    0.02      0.26
B09                     24.66   23.35   15.78   55.43    9.48    7.93    0.21     0.27    0.28      0.22
B10                     26.21   22.94   13.52   55.00   17.86   12.99    0.35     0.36    0.28      0.28
B11                     28.13   23.07   10.99   55.15   24.96   20.54    0.31     0.36    0.26      0.20
B12                     29.43   22.74    9.78   54.81   31.46   23.85    0.28     0.32    0.26      0.21
B13                     59.50   66.15   64.76   85.07   -9.98  -10.22    0.29     0.26    0.22      0.10
B14                     65.69   59.85   61.05   81.75   18.59  -12.34    0.18     0.23    0.26      0.07
B15                     71.80   74.87   45.61   89.33   -0.81   17.47    0.27     0.28    0.40      0.18
B16                     48.27   49.15   41.68   75.54    2.42   -1.45    0.30     0.37    0.41      0.23
B17                     61.41   57.02   41.76   80.19   15.57    6.47    0.23     0.28    0.34      0.13
B18                     54.95   63.05   44.65   83.47  -14.21    8.52    0.28     0.26    0.41      0.13
B19                     50.98   50.85   59.64   76.58    5.23  -19.86    0.24     0.40    0.31      0.17
B20                      5.29    8.71   16.20   35.41  -31.59  -27.59    0.12     0.19    0.34      0.48
B21                      9.98    5.26   11.08   27.46   47.43  -27.46    0.15     0.09    0.31      0.49
B22                     16.71   16.31    1.65   47.38    5.59   55.05    0.16     0.22    0.03      0.56
C01                      2.26    2.17    1.19   16.33    3.82    7.05    0.06     0.06    0.03      0.32
C02                      2.46    2.21    0.84   16.53    6.90   12.68    0.05     0.05    0.02      0.29
C03                      3.03    2.49    0.72   17.89   11.72   17.27    0.07     0.06    0.02      0.29
C04                      4.04    3.22    0.75   20.90   14.62   21.97    0.10     0.09    0.02      0.43
C05                     12.42   11.30    5.42   40.08   10.74   16.01    0.22     0.23    0.13      0.34
C06                     14.78   12.12    2.75   41.41   20.11   34.63    0.25     0.25    0.07      0.30
C07                     17.50   13.10    1.24   42.91   29.16   52.20    0.25     0.23    0.03      0.33
C08                     25.90   18.15    1.17   49.68   39.51   64.89    0.27     0.26    0.02      0.31
C09                     30.52   30.03   18.35   61.68    5.91   12.78    0.38     0.46    0.36      0.38
C10                     31.54   29.40   13.44   61.13   12.05   23.75    0.40     0.43    0.27      0.32
C11                     33.20   29.32   10.40   61.07   18.27   32.61    0.35     0.42    0.23      0.21
C12                     34.83   29.58    8.43   61.29   22.93   39.78    0.31     0.39    0.18      0.25
C13                     51.94   60.65   65.15   82.19  -16.42  -15.55    0.30     0.29    0.19      0.10
C14                     61.48   52.34   59.15   77.48   27.39  -17.81    0.25     0.32    0.27      0.07
C15                     71.12   74.48   37.05   89.15   -1.47   28.15    0.37     0.38    0.37      0.21
C16                     37.32   38.04   32.51   68.05    2.08   -1.70    0.44     0.51    0.52      0.38
C17                     55.68   48.77   33.27   75.31   22.80    9.68    0.34     0.41    0.46      0.17
C18                     46.32   56.56   36.43   79.93  -21.90   13.11    0.23     0.26    0.40      0.17
C19                     41.46   40.23   56.60   69.63    8.26  -28.74    0.30     0.45    0.32      0.16
C20                      3.52    5.63    9.91   28.47  -25.85  -21.99    0.07     0.12    0.16      0.38
C21                      6.27    3.61    7.14   22.32   35.90  -22.38    0.10     0.06    0.17      0.29
C22                      9.68    9.59    1.43   37.10    3.51   39.82    0.14     0.19    0.03      0.52
D01                      2.02    2.14    1.11   16.21   -1.01    8.02    0.06     0.06    0.04      0.39
D02                      2.16    2.37    0.87   17.31   -2.52   13.55    0.05     0.06    0.03      0.38
D03                      2.54    2.75    0.83   19.00   -2.02   17.13    0.07     0.09    0.02      0.55
D04                      3.03    3.40    0.89   21.56   -4.19   20.54    0.07     0.08    0.02      0.43
D05                     13.75   14.33    7.21   44.70   -0.45   15.93    0.29     0.32    0.18      0.45
D06                     13.59   14.29    3.48   44.64   -1.18   34.94    0.23     0.29    0.08      0.49
D07                     14.30   15.62    1.78   46.47   -4.60   52.00    0.24     0.26    0.03      0.54
D08                     18.32   20.74    1.73   52.66   -8.51   63.27    0.27     0.32    0.02      0.63
D09                     36.25   37.32   23.33   67.51    0.90   12.73    0.31     0.36    0.40      0.25
D10                     35.34   36.43   15.96   66.84    0.75   27.18    0.43     0.46    0.31      0.30
D11                     35.65   36.52   12.20   66.91    1.47   37.22    0.38     0.45    0.22      0.32
D12                     36.40   37.10   10.20   67.35    2.11   44.08    0.28     0.38    0.24      0.25
D13                     42.41   52.50   62.94   77.58  -23.10  -21.39    0.34     0.36    0.18      0.11
D14                     54.96   42.83   54.33   71.44   37.68  -23.23    0.26     0.32    0.29      0.05
D15                     68.89   72.04   27.42   87.99   -1.23   40.77    0.33     0.33    0.36      0.29
D16                     25.48   26.01   22.47   58.05    1.67   -1.96    0.39     0.46    0.38      0.43
D17                     47.77   38.66   23.28   68.51   31.37   14.54    0.33     0.38    0.42      0.16
D18                     35.28   46.92   26.49   74.14  -30.91   18.47    0.37     0.38    0.36      0.20
D19                     30.39   28.44   50.57   60.28   11.47  -38.36    0.33     0.41    0.37      0.14
D20                      2.39    3.74    6.25   22.77  -21.34  -17.76    0.07     0.10    0.17      0.43
D21                      4.07    2.58    4.63   18.29   26.27  -17.41    0.09     0.06    0.15      0.38
D22                      5.77    5.82    1.21   28.95    1.82   28.62    0.10     0.11    0.02      0.52
E01                      1.90    2.29    1.15   16.94   -6.93    8.61    0.08     0.10    0.05      0.64
E02                      1.84    2.44    0.95   17.65  -11.43   12.78    0.04     0.07    0.02      0.53
E03                      1.95    2.93    0.95   19.75  -17.94   16.47    0.05     0.08    0.03      0.43
