IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Thursday, February 10, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:01"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.63    1.30    0.88   11.30   10.74    3.04    0.07     0.06    0.05      0.43
A02                      2.21    1.54    0.81   12.83   17.79    6.85    0.07     0.05    0.03      0.48
A03                      2.96    1.89    0.92   14.88   23.37    8.51    0.11     0.07    0.04      0.56
A04                      4.00    2.42    1.11   17.56   28.35   10.38    0.13     0.08    0.05      0.52
A05                      5.83    4.91    4.01   26.48   13.11    0.27    0.20     0.17    0.17      0.52
A06                      6.93    4.70    3.16   25.85   27.47    4.75    0.19     0.13    0.11      0.46
A07                      8.98    5.21    2.49   27.32   39.95   12.47    0.23     0.14    0.11      0.46
A08                     12.86    6.76    2.37   31.24   51.80   20.22    0.21     0.11    0.11      0.26
A09                     23.51   21.59   16.53   53.59   12.41    2.97    0.37     0.35    0.48      0.35
A10                     25.31   21.52   15.39   53.51   20.52    5.58    0.30     0.29    0.30      0.27
A11                     27.56   21.75   14.23   53.76   28.69    8.96    0.32     0.30    0.35      0.21
A12                     29.66   21.69   13.12   53.70   37.11   11.84    0.29     0.26    0.36      0.14
A13                     69.53   73.41   65.75   88.65   -2.69   -4.99    0.18     0.20    0.22      0.10
A14                     71.58   69.72   64.11   86.86    9.38   -6.52    0.30     0.35    0.27      0.15
A15                     73.91   76.45   56.38   90.07    0.40    6.73    0.30     0.30    0.55      0.13
A16                     63.31   64.27   53.56   84.11    3.08   -0.56    0.34     0.35    0.40      0.18
A17                     69.46   68.36   54.28   86.19    7.77    2.25    0.29     0.34    0.45      0.16
A18                     67.37   72.04   55.94   87.99   -4.56    3.60    0.29     0.28    0.47      0.13
A19                     64.82   65.33   63.37   84.65    4.15   -9.61    0.31     0.38    0.28      0.18
A20                      7.35   12.08   24.16   41.34  -35.17  -33.93    0.13     0.19    0.38      0.34
A21                     14.67    7.15   15.44   32.15   59.36  -31.35    0.17     0.08    0.37      0.56
A22                     26.64   25.36    1.89   57.42    9.18   69.79    0.28     0.34    0.04      0.44
B01                      1.43    1.21    0.68   10.65    7.86    5.46    0.05     0.04    0.03      0.43
B02                      1.76    1.30    0.58   11.30   13.94    8.48    0.05     0.04    0.02      0.44
B03                      2.50    1.65    0.55   13.55   20.54   13.07    0.08     0.04    0.02      0.56
B04                      3.27    2.04    0.60   15.69   25.21   15.65    0.10     0.06    0.02      0.54
B05                      5.91    4.87    2.89   26.35   14.51    7.61    0.19     0.16    0.14      0.41
B06                      6.49    4.63    1.44   25.64   23.87   19.93    0.16     0.11    0.05      0.47
B07                      9.05    5.29    0.86   27.54   39.50   31.34    0.23     0.15    0.04      0.41
B08                     13.80    7.16    0.55   32.16   53.94   45.02    0.22     0.12    0.03      0.39
