IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Thursday, January 13, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:01"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.70    1.35    0.91   11.62   11.13    3.06    0.03     0.02    0.02      0.27
A02                      2.28    1.58    0.82   13.10   18.16    7.22    0.05     0.03    0.03      0.28
A03                      3.12    1.99    0.97   15.44   23.77    8.76    0.05     0.03    0.03      0.35
A04                      4.13    2.51    1.15   17.96   28.56   10.43    0.09     0.06    0.03      0.35
A05                      6.05    5.09    4.15   26.98   13.47    0.28    0.13     0.10    0.10      0.33
A06                      7.06    4.76    3.24   26.05   27.96    4.54    0.09     0.06    0.08      0.26
A07                      9.10    5.28    2.55   27.51   40.11   12.25    0.13     0.07    0.08      0.32
A08                     12.74    6.72    2.44   31.16   51.41   19.50    0.13     0.07    0.06      0.21
A09                     23.65   21.75   16.76   53.76   12.30    2.72    0.24     0.20    0.26      0.23
A10                     25.41   21.67   15.50   53.67   20.22    5.61    0.33     0.30    0.33      0.30
A11                     27.42   21.70   14.21   53.71   28.34    8.92    0.27     0.23    0.19      0.25
A12                     29.50   21.60   13.23   53.60   36.90   11.35    0.25     0.23    0.23      0.15
A13                     69.81   73.63   66.11   88.75   -2.54   -5.15    0.27     0.22    0.09      0.09
A14                     72.04   70.49   64.64   87.23    8.73   -6.38    0.29     0.31    0.20      0.14
A15                     74.25   76.71   57.17   90.19    0.59    6.11    0.22     0.24    0.27      0.11
A16                     64.28   65.49   54.98   84.73    2.57   -0.99    0.32     0.35    0.32      0.18
A17                     70.19   69.42   55.26   86.71    7.07    2.11    0.21     0.24    0.35      0.11
A18                     67.72   72.28   56.64   88.11   -4.28    3.07    0.27     0.24    0.34      0.11
A19                     65.58   66.46   63.98   85.23    3.39   -9.20    0.35     0.36    0.19      0.16
A20                      7.50   12.30   24.52   41.69  -35.24  -33.98    0.11     0.14    0.33      0.24
A21                     14.53    7.08   15.62   31.99   59.21  -32.07    0.31     0.15    0.22      0.46
A22                     26.59   25.27    1.85   57.33    9.34   70.03    0.32     0.30    0.03      0.37
B01                      1.48    1.25    0.69   10.89    8.44    5.81    0.04     0.03    0.02      0.29
B02                      1.83    1.35    0.59   11.59   14.33    8.91    0.04     0.03    0.02      0.40
B03                      2.57    1.69    0.52   13.76   21.08   13.83    0.06     0.04    0.02      0.39
B04                      3.38    2.11    0.61   16.03   25.62   16.07    0.09     0.06    0.02      0.47
B05                      6.10    5.02    2.99   26.80   14.68    7.61    0.15     0.12    0.10      0.39
B06                      6.65    4.73    1.48   25.96   24.17   19.96    0.13     0.10    0.05      0.32
B07                      9.15    5.35    0.89   27.71   39.67   31.24    0.15     0.09    0.03      0.47
B08                     13.49    7.03    0.56   31.87   53.24   44.42    0.14     0.08    0.02      0.17
B09                     23.57   21.96   14.70   53.98   10.97    8.14    0.29     0.26    0.29      0.27
B10                     25.17   21.65   12.47   53.65   19.33   13.57    0.32     0.29    0.28      0.27
B11                     26.98   21.71   10.16   53.72   26.53   20.71    0.34     0.31    0.24      0.23
B12                     28.59   21.65    9.01   53.65   33.17   24.52    0.23     0.21    0.19      0.18
B13                     59.22   65.89   64.55   84.94  -10.08  -10.24    0.33     0.25    0.15      0.09
B14                     64.79   58.43   60.34   80.98   19.94  -12.98    0.22     0.33    0.19      0.09
B15                     71.49   74.55   44.67   89.18   -0.82   18.35    0.18     0.20    0.40      0.16
B16                     47.27   47.91   40.46   74.77    3.03   -1.21    0.41     0.46    0.50      0.29
B17                     60.58   55.83   40.66   79.52   16.52    6.72    0.31     0.40    0.52      0.15
B18                     54.59   62.72   43.50   83.29  -14.34    9.63    0.38     0.33    0.45      0.14
B19                     50.33   49.86   59.17   75.98    6.11  -20.42    0.49     0.48    0.21      0.20
B20                      4.90    8.01   15.11   34.01  -30.37  -27.34    0.09     0.13    0.32      0.35
B21                      9.56    5.00   10.31   26.72   47.26  -26.32    0.26     0.13    0.26      0.57
B22                     15.92   15.23    1.53   45.95    7.25   53.86    0.33     0.30    0.03      0.66
C01                      2.12    1.98    1.09   15.36    4.83    6.81    0.05     0.05    0.04      0.26
C02                      2.28    2.00    0.76   15.48    7.74   12.27    0.06     0.05    0.02      0.34
C03                      2.83    2.28    0.67   16.88   12.44   16.40    0.06     0.05    0.02      0.32
C04                      3.80    2.97    0.70   19.90   15.34   21.05    0.09     0.07    0.02      0.44
C05                     11.81   10.57    5.02   38.85   11.86   15.92    0.19     0.16    0.12      0.31
C06                     14.14   11.40    2.52   40.24   21.27   34.42    0.18     0.16    0.07      0.32
C07                     16.65   12.22    1.15   41.56   30.31   51.16    0.23     0.20    0.02      0.39
C08                     24.89   17.10    1.09   48.38   40.84   63.74    0.21     0.17    0.03      0.25
C09                     29.26   28.36   17.02   60.21    7.50   13.25    0.36     0.35    0.25      0.33
C10                     30.35   27.85   12.46   59.75   13.59   24.12    0.37     0.37    0.29      0.25
C11                     32.08   27.86    9.61   59.76   19.92   32.95    0.28     0.25    0.15      0.25
C12                     33.78   28.21    7.79   60.07   24.57   40.08    0.36     0.32    0.15      0.31
C13                     51.55   60.27   64.95   81.99  -16.56  -15.72    0.47     0.38    0.20      0.09
C14                     60.53   50.92   58.40   76.63   28.86  -18.52    0.26     0.34    0.19      0.06
C15                     70.90   74.24   35.90   89.03   -1.43   29.55    0.15     0.16    0.36      0.18
C16                     36.42   36.93   31.19   67.22    2.71   -1.11    0.50     0.49    0.50      0.37
C17                     54.61   47.37   31.88   74.43   23.91   10.25    0.30     0.38    0.51      0.14
C18                     45.82   56.07   35.12   79.65  -22.13   14.48    0.38     0.32    0.41      0.11
C19                     40.67   39.19   56.00   68.89    9.06  -29.38    0.48     0.49    0.31      0.20
C20                      3.22    5.11    9.10   27.04  -24.57  -21.70    0.07     0.09    0.19      0.28
C21                      5.90    3.38    6.55   21.48   35.48  -21.30    0.21     0.12    0.16      0.53
C22                      9.05    8.81    1.32   35.61    4.73   38.58    0.23     0.21    0.04      0.53
D01                      1.90    1.96    1.02   15.25    0.35    7.59    0.05     0.05    0.04      0.19
D02                      2.03    2.16    0.81   16.29   -1.19   12.91    0.05     0.05    0.02      0.32
D03                      2.38    2.50    0.77   17.90   -0.59   16.32    0.05     0.05    0.02      0.37
D04                      2.79    3.03    0.84   20.18   -2.50   19.06    0.07     0.08    0.02      0.47
D05                     13.14   13.48    6.71   43.48    0.94   15.92    0.28     0.25    0.18      0.33
D06                     12.86   13.34    3.23   43.27   -0.01   34.26    0.21     0.21    0.10      0.28
