IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, March 1, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:02"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.76    1.41    0.98   12.03   10.73    2.65    0.06     0.04    0.05      0.35
A02                      2.38    1.66    0.90   13.59   18.06    6.64    0.07     0.05    0.03      0.35
A03                      3.18    2.04    1.04   15.70   23.77    8.15    0.08     0.06    0.05      0.30
A04                      4.23    2.58    1.25   18.27   28.57    9.63    0.15     0.09    0.07      0.48
A05                      6.07    5.12    4.23   27.08   13.19    0.01    0.20     0.18    0.22      0.47
A06                      7.15    4.87    3.34   26.36   27.52    4.35    0.15     0.12    0.11      0.26
A07                      9.24    5.40    2.67   27.85   39.82   11.90    0.26     0.16    0.15      0.46
A08                     13.09    6.93    2.56   31.64   51.63   19.31    0.23     0.12    0.12      0.30
A09                     23.46   21.56   17.07   53.56   12.30    1.65    0.51     0.50    0.47      0.51
A10                     25.16   21.49   15.75   53.48   20.04    4.66    0.64     0.59    0.61      0.55
A11                     27.44   21.75   14.61   53.76   28.17    8.00    0.61     0.54    0.58      0.43
A12                     29.71   21.79   13.64   53.80   36.83   10.60    0.49     0.43    0.41      0.28
A13                     69.51   73.46   66.22   88.67   -2.84   -5.39    0.35     0.30    0.19      0.13
A14                     71.56   69.61   64.59   86.81    9.56   -7.06    0.30     0.40    0.17      0.15
A15                     74.31   76.85   57.35   90.25    0.41    6.04    0.25     0.24    0.46      0.11
A16                     63.36   64.27   54.67   84.10    3.21   -1.76    0.52     0.58    0.57      0.30
A17                     69.41   68.23   54.83   86.12    7.93    1.55    0.42     0.52    0.62      0.23
A18                     67.50   72.22   56.71   88.08   -4.64    2.95    0.38     0.30    0.57      0.13
A19                     64.85   65.38   63.87   84.68    4.10  -10.05    0.53     0.57    0.24      0.25
A20                      7.67   12.50   25.21   42.00  -34.98  -34.70    0.21     0.29    0.69      0.55
A21                     15.07    7.36   16.60   32.62   59.77  -33.36    0.35     0.16    0.36      0.76
A22                     27.20   26.24    1.98   58.26    7.82   70.33    0.50     0.47    0.04      0.69
B01                      1.52    1.30    0.73   11.30    7.79    5.70    0.07     0.06    0.05      0.36
B02                      1.89    1.40    0.61   11.99   14.09    9.10    0.06     0.05    0.03      0.38
B03                      2.65    1.75    0.56   14.14   20.98   13.84    0.06     0.04    0.02      0.32
B04                      3.48    2.18    0.65   16.40   25.54   15.94    0.12     0.08    0.03      0.50
B05                      6.13    5.08    3.09   26.94   14.41    7.14    0.21     0.19    0.20      0.39
B06                      6.66    4.76    1.58   26.05   23.91   18.98    0.16     0.12    0.06      0.40
B07                      9.35    5.51    0.95   28.15   39.44   30.94    0.23     0.14    0.04      0.47
B08                     14.17    7.39    0.60   32.68   54.03   45.10    0.20     0.12    0.03      0.37
B09                     23.39   21.81   15.01   53.82   10.87    7.08    0.46     0.47    0.43      0.44
B10                     24.88   21.43   12.74   53.41   19.11   12.39    0.54     0.51    0.45      0.43
B11                     27.09   21.84   10.62   53.85   26.35   19.48    0.62     0.57    0.56      0.30
B12                     28.81   21.88    9.49   53.90   32.98   23.28    0.45     0.43    0.30      0.22
B13                     58.80   65.61   64.71   84.80  -10.47  -10.63    0.42     0.34    0.15      0.12
B14                     64.67   58.18   60.39   80.84   20.26  -13.27    0.39     0.58    0.24      0.14
B15                     71.66   74.80   45.08   89.30   -0.98   18.06    0.24     0.24    0.72      0.17
B16                     46.83   47.42   40.55   74.46    3.13   -1.86    0.68     0.72    0.74      0.46
B17                     60.36   55.47   40.63   79.31   16.88    6.41    0.56     0.73    0.86      0.28
B18                     54.26   62.54   43.85   83.20  -14.79    9.05    0.57     0.44    0.92      0.13
B19                     49.93   49.34   59.14   75.66    6.41  -20.95    0.66     0.67    0.29      0.28
B20                      5.04    8.18   15.62   34.36  -30.18  -27.99    0.15     0.22    0.51      0.58
B21                      9.78    5.13   10.94   27.10   47.40  -27.65    0.34     0.17    0.41      1.03
B22                     16.12   15.67    1.63   46.54    5.85   53.76    0.39     0.37    0.06      0.64
C01                      2.16    2.04    1.15   15.69    4.32    6.55    0.07     0.07    0.06      0.33
C02                      2.36    2.09    0.83   15.95    7.35   11.89    0.08     0.08    0.04      0.43
C03                      2.88    2.35    0.69   17.21   11.99   16.65    0.07     0.07    0.03      0.39
C04                      3.86    3.05    0.75   20.23   14.91   20.80    0.15     0.12    0.04      0.43
C05                     11.64   10.51    5.12   38.74   11.15   15.22    0.32     0.32    0.28      0.36
C06                     14.07   11.43    2.64   40.29   20.59   33.59    0.29     0.29    0.08      0.47
C07                     16.94   12.52    1.22   42.03   29.86   51.02    0.39     0.35    0.05      0.56
C08                     25.62   17.74    1.14   49.17   40.51   64.33    0.39     0.35    0.03      0.44
C09                     29.11   28.42   17.47   60.26    6.71   12.29    0.49     0.55    0.43      0.45
C10                     30.26   27.99   12.83   59.88   12.73   23.28    0.67     0.70    0.48      0.46
C11                     32.22   28.11   10.09   59.98   19.45   31.77    0.59     0.60    0.50      0.19
C12                     34.02   28.50    8.17   60.33   24.30   39.08    0.48     0.49    0.26      0.20
C13                     50.96   59.80   65.03   81.73  -16.99  -16.24    0.45     0.40    0.20      0.14
