IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Monday, May 16, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:05"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.72    1.38    0.95   11.78   10.86    2.72    0.08     0.06    0.05      0.47
A02                      2.31    1.60    0.86   13.21   18.23    6.77    0.13     0.09    0.05      0.71
A03                      3.19    2.03    1.02   15.66   23.99    8.36    0.17     0.11    0.06      0.83
A04                      4.16    2.53    1.22   18.04   28.56    9.56    0.21     0.13    0.09      0.66
A05                      6.04    5.13    4.26   27.08   12.86   -0.19    0.30     0.27    0.24      0.72
A06                      7.20    4.93    3.46   26.54   27.12    3.92    0.36     0.25    0.23      0.75
A07                      9.21    5.34    2.76   27.68   40.23   10.94    0.32     0.19    0.15      0.63
A08                     13.17    6.94    2.60   31.67   51.99   19.04    0.31     0.18    0.15      0.34
A09                     23.82   21.84   17.39   53.85   12.62    1.43    0.72     0.69    0.66      0.72
A10                     25.24   21.69   16.26   53.69   19.42    3.79    0.72     0.67    0.64      0.65
A11                     27.74   22.12   15.09   54.15   27.70    7.43    0.66     0.63    0.60      0.44
A12                     29.90   22.00   14.09   54.02   36.57    9.79    0.69     0.65    0.59      0.32
A13                     69.43   73.33   66.54   88.60   -2.73   -5.80    0.31     0.25    0.24      0.11
A14                     71.91   70.20   65.12   87.09    9.06   -7.08    0.20     0.31    0.26      0.11
A15                     74.29   76.73   58.24   90.20    0.62    5.03    0.17     0.18    0.57      0.10
A16                     64.16   65.28   56.25   84.63    2.77   -2.52    0.65     0.72    0.64      0.37
A17                     69.94   68.83   56.48   86.42    7.79    0.33    0.31     0.45    0.60      0.19
A18                     67.59   72.19   57.73   88.06   -4.36    1.87    0.34     0.28    0.54      0.13
A19                     65.13   65.85   64.38   84.92    3.71  -10.12    0.56     0.65    0.26      0.27
A20                      7.65   12.46   25.31   41.93  -34.87  -34.98    0.24     0.35    0.76      0.65
A21                     15.01    7.30   16.43   32.48   59.96  -33.19    0.45     0.23    0.54      0.86
A22                     27.25   25.95    1.85   57.98    9.23   71.13    0.71     0.72    0.07      0.89
B01                      1.45    1.25    0.71   10.89    7.48    5.34    0.07     0.06    0.04      0.52
B02                      1.92    1.42    0.60   12.06   14.58    9.44    0.11     0.08    0.04      0.69
B03                      2.55    1.70    0.55   13.80   20.50   13.43    0.15     0.09    0.03      1.02
B04                      3.36    2.10    0.63   15.97   25.39   15.72    0.17     0.10    0.04      0.83
B05                      6.09    5.09    3.08   26.98   13.85    7.29    0.30     0.27    0.19      0.66
B06                      6.71    4.82    1.60   26.20   23.66   19.09    0.33     0.25    0.09      0.79
B07                      9.36    5.49    0.92   28.07   39.77   31.25    0.36     0.22    0.06      0.75
B08                     14.24    7.39    0.58   32.69   54.45   45.48    0.30     0.16    0.03      0.51
B09                     23.64   22.04   15.40   54.06   10.92    6.54    0.71     0.70    0.61      0.70
B10                     25.44   21.95   13.32   53.97   19.09   11.76    0.71     0.67    0.56      0.58
B11                     27.09   21.88   10.58   53.90   26.20   19.68    0.63     0.61    0.45      0.37
B12                     29.12   22.19    9.62   54.22   32.77   23.39    0.65     0.61    0.42      0.29
B13                     58.59   65.33   64.95   84.65  -10.36  -11.11    0.52     0.36    0.22      0.10
B14                     65.07   58.84   61.00   81.20   19.59  -13.24    0.30     0.52    0.32      0.11
B15                     71.60   74.68   45.87   89.24   -0.86   17.02    0.17     0.19    0.76      0.21
B16                     47.62   48.35   41.97   75.04    2.78   -2.67    1.06     1.12    0.99      0.71
B17                     61.10   56.40   42.41   79.84   16.38    5.04    0.49     0.68    0.90      0.25
B18                     54.39   62.56   44.99   83.21  -14.50    7.67    0.55     0.40    0.81      0.09
B19                     50.28   49.90   59.66   76.00    5.88  -20.88    0.85     0.99    0.39      0.36
B20                      5.15    8.37   16.01   34.73  -30.35  -28.31    0.16     0.25    0.52      0.63
B21                      9.68    5.04   10.89   26.86   47.64  -27.91    0.30     0.14    0.40      0.96
B22                     16.29   15.80    1.59   46.71    6.06   54.51    0.55     0.57    0.07      0.96
C01                      2.14    2.02    1.09   15.58    4.33    7.25    0.08     0.08    0.05      0.37
C02                      2.34    2.08    0.78   15.90    7.30   12.68    0.12     0.11    0.04      0.68
C03                      2.81    2.32    0.69   17.07   11.35   16.48    0.16     0.13    0.02      1.01
C04                      3.86    3.10    0.72   20.44   14.01   21.57    0.17     0.14    0.03      0.74
C05                     11.62   10.51    5.15   38.73   11.05   15.04    0.42     0.42    0.26      0.61
C06                     14.14   11.44    2.56   40.31   20.91   34.27    0.53     0.47    0.12      0.81
C07                     16.77   12.40    1.16   41.84   29.75   51.52    0.54     0.45    0.06      0.82
C08                     25.76   17.70    1.10   49.13   41.28   64.80    0.54     0.48    0.03      0.62
C09                     29.14   28.39   17.69   60.24    6.92   11.76    0.73     0.76    0.54      0.67
C10                     30.39   28.03   13.14   59.91   13.03   22.50    0.77     0.77    0.57      0.52
C11                     32.41   28.41   10.03   60.25   18.96   32.43    0.66     0.69    0.40      0.34
C12                     34.42   28.79    8.20   60.59   24.55   39.42    0.75     0.77    0.39      0.37
C13                     51.03   59.75   65.27   81.70  -16.68  -16.51    0.66     0.54    0.25      0.12
C14                     60.72   51.04   58.86   76.70   28.97  -18.86    0.37     0.58    0.34      0.05
C15                     70.99   74.37   37.40   89.10   -1.53   27.59    0.23     0.23    0.90      0.31
C16                     36.33   36.86   32.36   67.16    2.65   -2.99    1.04     1.08    1.00      0.82
C17                     54.92   47.63   32.75   74.59   24.00    9.22    0.54     0.73    0.81      0.20
