IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Thursday, June 23, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:06"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.70    1.35    0.92   11.60   11.21    2.90    0.10     0.08    0.05      0.55
A02                      2.27    1.57    0.83   13.06   18.06    6.88    0.12     0.08    0.04      0.60
A03                      3.02    1.92    0.98   15.08   23.60    8.02    0.14     0.09    0.05      0.66
A04                      4.04    2.45    1.15   17.67   28.51    9.88    0.18     0.11    0.06      0.59
A05                      5.91    4.99    4.07   26.71   12.97    0.32    0.25     0.22    0.23      0.61
A06                      6.94    4.70    3.22   25.85   27.54    4.32    0.24     0.18    0.15      0.46
A07                      9.13    5.30    2.58   27.56   40.16   12.11    0.28     0.17    0.13      0.48
A08                     13.10    6.86    2.46   31.49   52.29   19.85    0.28     0.16    0.12      0.33
A09                     23.44   21.46   16.64   53.45   12.72    2.48    0.53     0.54    0.59      0.52
A10                     25.34   21.57   15.52   53.57   20.41    5.38    0.54     0.51    0.48      0.46
A11                     27.57   21.80   14.34   53.81   28.47    8.76    0.48     0.44    0.45      0.32
A12                     29.80   21.83   13.32   53.84   37.01   11.53    0.49     0.45    0.43      0.22
A13                     69.36   73.26   66.35   88.57   -2.73   -5.69    0.12     0.11    0.14      0.05
A14                     71.46   69.60   64.71   86.80    9.36   -7.18    0.18     0.32    0.16      0.11
A15                     73.87   76.39   56.62   90.04    0.45    6.43    0.21     0.21    0.46      0.11
A16                     63.36   64.41   54.13   84.18    2.88   -1.06    0.34     0.38    0.44      0.20
A17                     69.38   68.39   54.53   86.20    7.53    2.01    0.34     0.38    0.47      0.18
A18                     67.14   71.81   55.98   87.88   -4.57    3.37    0.36     0.32    0.47      0.15
