IT8.7/2                                                                              
ORIGINATOR           "X-Rite, Inc."
DESCRIPTOR           "IT8.7/2 Reference Data File, 5x7 Fujicolor, ver2.2"
CREATED              "Tuesday, August 16, 2022"
MANUFACTURER         "X-Rite, Inc."
PROD_DATE            "2022:07"
SERIAL               "Batch Average Data"
MATERIAL             "Fuji Fujicolor Product Family"
NUMBER_OF_FIELDS           11
BEGIN_DATA_FORMAT
SAMPLE_ID               XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B STDEV_X STDEV_Y STDEV_Z  STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS 288
#
BEGIN_DATA
#ID                        X       Y       Z       L       A       B     SD_X     SD_Y    SD_Z     SD_dE
A01                      1.77    1.42    0.96   12.08   10.84    3.05    0.09     0.08    0.06      0.43
A02                      2.35    1.64    0.87   13.45   17.98    6.93    0.10     0.07    0.03      0.48
A03                      3.13    2.00    1.00   15.50   23.62    8.34    0.11     0.08    0.05      0.39
A04                      4.19    2.55    1.21   18.16   28.53    9.93    0.16     0.10    0.07      0.44
A05                      6.15    5.26    4.25   27.45   12.46    0.50    0.20     0.18    0.12      0.45
A06                      7.15    4.88    3.34   26.39   27.31    4.46    0.18     0.14    0.12      0.35
A07                      9.24    5.40    2.66   27.84   39.85   11.93    0.31     0.20    0.11      0.56
A08                     13.30    7.01    2.58   31.84   52.13   19.51    0.13     0.09    0.07      0.17
A09                     24.06   22.13   17.38   54.16   12.37    1.97    0.48     0.53    0.50      0.47
A10                     25.87   22.21   16.05   54.25   19.67    5.24    0.51     0.48    0.44      0.43
A11                     28.38   22.63   15.10   54.68   27.93    8.33    0.42     0.40    0.35      0.28
A12                     30.40   22.43   13.96   54.48   36.51   10.90    0.37     0.37    0.23      0.19
A13                     69.78   73.55   66.27   88.71   -2.43   -5.37    0.20     0.21    0.33      0.11
A14                     71.51   69.75   64.63   86.87    9.17   -6.98    0.34     0.34    0.28      0.15
A15                     73.99   76.51   57.16   90.10    0.45    5.97    0.26     0.30    0.30      0.16
A16                     64.06   65.11   54.62   84.54    2.93   -0.95    0.43     0.44    0.32      0.22
A17                     69.59   68.65   55.02   86.33    7.42    1.72    0.26     0.32    0.56      0.14
A18                     67.78   72.30   56.59   88.11   -4.19    3.13    0.21     0.21    0.26      0.12
A19                     65.58   66.23   64.11   85.11    3.88   -9.53    0.35     0.39    0.16      0.14
A20                      7.81   12.74   25.45   42.37  -35.26  -34.49    0.18     0.28    0.46      0.39
A21                     15.29    7.45   16.35   32.81   60.27  -32.45    0.18     0.11    0.27      0.28
A22                     27.52   26.16    1.91   58.19    9.43   70.92    0.31     0.32    0.04      0.41
B01                      1.54    1.31    0.72   11.37    7.85    5.95    0.08     0.07    0.03      0.50
B02                      1.89    1.41    0.60   12.01   14.06    9.47    0.07     0.05    0.02      0.45
B03                      2.63    1.74    0.54   14.06   20.85   14.04    0.09     0.06    0.02      0.48
B04                      3.44    2.15    0.64   16.26   25.49   15.96    0.16     0.11    0.05      0.59
B05                      6.29    5.26    3.13   27.46   13.93    7.76    0.17     0.15    0.08      0.42
B06                      6.79    4.89    1.58   26.41   23.66   19.63    0.17     0.14    0.07      0.21
B07                      9.36    5.51    0.92   28.14   39.47   31.52    0.26     0.16    0.04      0.53
B08                     14.38    7.49    0.59   32.89   54.45   45.61    0.11     0.07    0.02      0.20
B09                     23.93   22.33   15.21   54.37   10.89    7.52    0.49     0.55    0.30      0.53
B10                     25.66   22.19   12.93   54.22   18.93   13.27    0.42     0.40    0.29      0.37
B11                     27.82   22.54   10.80   54.59   26.13   20.17    0.44     0.43    0.36      0.22
B12                     29.44   22.48    9.55   54.53   32.68   24.16    0.46     0.45    0.32      0.20
B13                     59.37   65.89   64.69   84.94   -9.74  -10.38    0.34     0.25    0.26      0.10
B14                     64.99   58.86   60.66   81.22   19.36  -12.88    0.14     0.16    0.20      0.09
B15                     71.43   74.53   45.24   89.17   -0.91   17.65    0.18     0.21    0.41      0.21
B16                     47.92   48.62   41.14   75.21    2.91   -1.32    0.36     0.33    0.49      0.22
B17                     60.87   56.36   41.10   79.82   15.91    6.67    0.15     0.22    0.39      0.08
B18                     54.88   62.88   44.13   83.38  -14.01    9.01    0.24     0.10    0.43      0.09
B19                     51.04   50.65   59.54   76.46    5.91  -19.96    0.34     0.35    0.17      0.11
B20                      5.11    8.31   15.73   34.62  -30.41  -27.82    0.19     0.30    0.53      0.65
B21                      9.84    5.14   10.85   27.13   47.71  -27.32    0.26     0.14    0.35      0.70
B22                     16.32   15.74    1.56   46.63    6.61   54.66    0.46     0.45    0.05      0.85
C01                      2.20    2.08    1.14   15.92    4.27    7.12    0.09     0.08    0.04      0.46
C02                      2.39    2.14    0.81   16.18    7.01   12.65    0.09     0.08    0.02      0.62
C03                      2.92    2.40    0.68   17.45   11.64   17.21    0.10     0.08    0.02      0.72
C04                      3.88    3.09    0.73   20.39   14.47   21.42    0.11     0.09    0.02      0.58
C05                     11.93   10.82    5.12   39.27   10.88   16.10    0.26     0.26    0.08      0.54
C06                     14.28   11.64    2.63   40.63   20.42   34.23    0.40     0.35    0.10      0.54
C07                     17.18   12.72    1.19   42.33   29.90   51.84    0.36     0.35    0.05      0.45
C08                     26.19   18.12    1.12   49.64   40.88   65.52    0.22     0.23    0.02      0.33
C09                     29.67   28.86   17.49   60.66    7.12   12.94    0.50     0.60    0.45      0.46
C10                     30.92   28.52   12.86   60.35   13.15   24.03    0.61     0.67    0.37      0.48
C11                     32.97   28.74   10.23   60.54   19.69   32.26    0.53     0.61    0.39      0.24
C12                     34.63   28.99    8.15   60.76   24.52   39.91    0.60     0.69    0.27      0.35
C13                     51.62   60.24   65.04   81.97  -16.29  -15.83    0.34     0.26    0.21      0.09
C14                     60.85   51.41   58.78   76.92   28.35  -18.40    0.18     0.40    0.10      0.12
C15                     70.95   74.32   37.16   89.08   -1.51   27.87    0.25     0.28    0.49      0.33
C16                     37.04   37.64   32.15   67.75    2.48   -1.67    0.49     0.50    0.55      0.38
C17                     55.32   48.23   33.05   74.97   23.36    9.42    0.34     0.52    0.78      0.09
C18                     46.20   56.37   36.24   79.82  -21.78   13.19    0.31     0.18    0.35      0.10
C19                     41.21   39.88   56.39   69.38    8.60  -28.95    0.36     0.47    0.12      0.08
C20                      3.42    5.43    9.58   27.92  -25.10  -21.84    0.14     0.22    0.38      0.66
C21                      6.14    3.52    6.94   22.00   35.92  -22.11    0.11     0.06    0.21      0.51
C22                      9.41    9.26    1.38   36.47    3.99   39.31    0.20     0.23    0.03      0.59
D01                      1.96    2.05    1.07   15.76   -0.51    7.78    0.09     0.09    0.05      0.49
D02                      2.13    2.31    0.85   17.03   -2.13   13.51    0.06     0.07    0.01      0.54
D03                      2.47    2.64    0.79   18.55   -1.61   17.15    0.09     0.10    0.02      0.57
D04                      2.90    3.20    0.86   20.84   -3.33   19.90    0.13     0.13    0.02      0.80
D05                     13.30   13.76    6.90   43.88    0.20   15.81    0.26     0.30    0.19      0.41
D06                     12.97   13.56    3.34   43.59   -0.66   34.06    0.27     0.32    0.08      0.57
D07                     13.66   14.85    1.70   45.42   -4.08   51.06    0.41     0.44    0.05      0.84
D08                     18.00   20.24    1.67   52.11   -7.82   62.94    0.20     0.19    0.03      0.49
D09                     35.67   36.57   22.60   66.95    1.37   13.15    0.51     0.57    0.49      0.39
D10                     34.75   35.73   15.31   66.31    1.04   27.85    0.52     0.51    0.31      0.34
D11                     35.51   36.12   12.10   66.61    2.31   37.00    0.53     0.58    0.47      0.17
D12                     36.10   36.63    9.94   67.00    2.61   44.33    0.54     0.55    0.29      0.27
D13                     42.00   51.95   62.82   77.25  -22.93  -21.83    0.49     0.40    0.17      0.10
D14                     54.10   41.63   53.63   70.61   39.06  -23.91    0.38     0.64    0.20      0.23
D15                     68.55   71.68   27.11   87.82   -1.24   41.01    0.18     0.17    0.67      0.50
D16                     25.02   25.32   22.13   57.38    2.59   -2.45    0.55     0.64    0.64      0.61
D17                     47.14   37.81   22.57   67.88   32.34   14.80    0.43     0.59    0.69      0.10
D18                     34.94   46.46   26.16   73.84  -30.78   18.53    0.46     0.37    0.55      0.15
D19                     29.94   27.75   50.08   59.66   12.45  -38.88    0.56     0.70    0.30      0.08
D20                      2.28    3.54    5.95   22.09  -20.58  -17.59    0.08     0.11    0.23      0.53
D21                      3.94    2.48    4.48   17.83   26.40  -17.37    0.12     0.08    0.21      0.66
D22                      5.61    5.61    1.16   28.41    2.29   28.31    0.16     0.16    0.04      0.61
E01                      1.83    2.18    1.10   16.38   -6.18    8.38    0.06     0.08    0.04      0.41
E02                      1.76    2.31    0.90   17.03  -10.79   12.56    0.06     0.08    0.02      0.68
E03                      1.84    2.76    0.89   19.04  -17.38   16.25    0.07     0.09    0.02      0.49
E04                      2.24    3.46    1.03   21.79  -20.26   18.81    0.09     0.13    0.03      0.68
E05                      6.24    7.05    3.89   31.91   -5.77   10.38    0.17     0.21    0.07      0.63
E06                      5.61    7.08    2.27   31.99  -13.12   22.33    0.18     0.22    0.08      0.60
E07                      5.83    8.36    1.46   34.71  -22.30   35.27    0.25     0.34    0.05      0.89
E08                      7.12   11.75    1.57   40.81  -35.13   44.53    0.12     0.16    0.02      0.43
E09                     20.96   22.88   14.16   54.95   -5.17   11.19    0.58     0.66    0.38      0.73
E10                     20.48   23.80   11.76   55.88  -11.53   19.47    0.61     0.67    0.46      0.55
E11                     19.73   23.76    9.98   55.84  -15.03   24.99    0.33     0.42    0.30      0.35
E12                     19.34   24.47    8.52   56.56  -20.07   31.27    0.35     0.41    0.20      0.33
E13                     34.52   45.10   60.74   72.96  -28.39  -27.21    0.42     0.39    0.08      0.10
E14                     48.32   33.89   48.98   64.87   48.56  -28.64    0.22     0.37    0.14      0.30
E15                     66.75   69.33   19.92   86.67   -0.22   52.49    0.34     0.34    0.34      0.54
E16                     16.46   16.74   14.67   47.93    1.80   -2.22    0.38     0.37    0.36      0.48
E17                     40.74   30.12   15.31   61.76   40.03   20.00    0.24     0.33    0.39      0.20
E18                     26.49   38.40   18.78   68.32  -38.38   23.26    0.35     0.30    0.26      0.14
E19                     21.93   19.26   44.52   50.98   16.49  -47.33    0.35     0.42    0.24      0.18
E20                      1.56    2.31    3.48   17.05  -16.14  -12.59    0.06     0.09    0.13      0.44
E21                      2.43    1.73    2.82   14.00   17.25  -13.13    0.07     0.05    0.07      0.35
E22                      3.15    3.24    0.99   20.96    0.45   18.01    0.11     0.12    0.04      0.58
F01                      0.72    0.93    0.71    8.39   -7.26    1.05    0.03     0.04    0.02      0.48
F02                      0.82    1.28    0.77   11.10  -14.84    4.56    0.02     0.04    0.02      0.49
F03                      0.88    1.56    0.80   12.97  -20.27    7.30    0.02     0.05    0.02      0.55
F04                      1.04    1.96    0.90   15.27  -24.20    9.61    0.05     0.09    0.03      0.63
F05                      3.56    4.48    3.27   25.20  -11.05    2.82    0.10     0.13    0.06      0.49
